genus	species	N	family	life style disparat	life style broad	diet	diet broad		chisel	methode	body mass	SD	bite force	SD	reference	logmass	logBF
Apodemus	epimelas	6	Muridae	terrestrial	Terrestrial	seed-invertebrate-fruit-root	omnivorous	(P)	NO	Piezo	37,12	4,65	13,78	1,33	This study, A. Herrel	1,5695689666504	1,13923871201441
Calomyscus	bailwardi	2	Calomyscidae	terrestrial	Terrestrial	leaf-seed-grain-nut	phytophagous	(G)	NO	Piezo	14	0	4,46	0,71	This study, A. Herrel	1,14612803567824	0,648896448003931
Cavia	porcellus	3	Caviidae	terrestrial	Terrestrial	grass	phytophagous	(S)	NO	Piezo	689	4,58	35,24	1,21	This study, A. Herrel	2,83821922190763	1,54706054685457
Chinchilla	lanigera	1	Chinchillidae	terrestrial	Terrestrial	grass	phytophagous	(S)	NO	Piezo	649,4		62,38		This study, A. Herrel	2,81251228428998	1,79502448368217
Dinaromys	bogdanovi	11	Cricetidae	terrestrial	Terrestrial	plantsgreenparts	phytophagous	(G)	NO	Piezo	72,27	5,52	17,61	2,15	This study, A. Herrel	1,85897444349825	1,24588040616509
Eliomys	quercinus	6	Gliridae	arboreal	Scansorial	fruit-nut-insect-vertebrate	omnivorous	(A)	NO	Piezo	76,03	12,51	14,39	1,99	This study, A. Herrel	1,88100403055699	1,15817646967059
Lemniscomys	striatus	3	Muridae	terrestrial	Terrestrial	grassstemsandflowers-fruitsleafandseeds	phytophagous	(G)	NO	Piezo	45,67	4,73	13,58	1,35	This study, A. Herrel	1,65959931243674	1,1328571272539
Mesocricetus	auratus	3	Cricetidae	terrestrial	Scansorial	seed-nut-insect	omnivorous	(P)	NO	Piezo	146,7	25,03	21,89	1,57	This study, A. Herrel	2,16643011384328	1,34017962367366
Myodes	glareolus	23	Cricetidae	terrestrial	Terrestrial	leaf-fruit-nut-seed-grass	phytophagous	(G)	NO	Piezo	20,67	3,16	9,06	0,48	This study, A. Herrel	1,31523997827717	0,957264792007575
Myoxus	glis	6	Gliridae	arboreal	Arboreal	fruit-nut-insect-leaf	omnivorous	(P)	NO	Piezo	143,86	30,85	26,76	3,49	This study, A. Herrel	2,15794508738381	1,42741036603446
Octodon	degus	3	Octodontidae	burrower	Terrestrial	grass	phytophagous	(S)	NO	Piezo	194,33	23,16	34,88	10,36	This study, A. Herrel	2,28854730003935	1,54263457752245
Rattus	norvegicus	3	Muridae	terrestrial	Terrestrial	fruits-seeds-vegetation-carrion-birds-smallmammals-invertebrates	omnivorous	(P)	NO	Piezo	341	23,64	15,1	3,92	This study, A. Herrel	2,5327543789925	1,1789002439228
Rhabdomys	pumilio	1	Muridae	terrestrial	Terrestrial	succulentparts-bushes	phytophagous	(G)	NO	Piezo	53,2		16,08		This study, A. Herrel	1,72591163229505	1,20628604441243
Ctenomys	talarum	15	Ctenomyidae	subterranean	Subterranean	Grass-root	phytophagous	(S)	YES	strain gauge	146,6	19,7	31,67	5,84	Becerra et al, 2011	2,16613397030511	1,50064806337191
Ctenomys	tuconax	3	Ctenomyidae	subterranean	Subterranean	Grass-root	phytophagous	(S)	YES	strain gauge	520	100,7	74,9	24,3	Becerra et al, 2013	2,7160033436348	1,87448181769947
Ctenomys	australis	10	Ctenomyidae	subterranean	Subterranean	Grass-root	phytophagous	(S)	YES	strain gauge	360		68,7		Becerra et al, 2014	2,55630250076729	1,83697570147002
Dipodomys	ordii	11	Heteromyidae	burrower	Terrestrial	seed(almostentirely)-insect	omnivorous	(P)	NO	flexiforce	63	6,77	13,98	2,07	Freeman & Lemen 2008	1,79934054945358	1,14550717140966
Geomys	bursarius	5	Geomyidae	subterranean	Subterranean	Root-grass	phytophagous	(S)	NO	flexiforce	153	27,23	50,61	7,62	Freeman & Lemen 2008	2,1846914308176	1,70423633730879
Microtus	ochrogaster	10	Cricetidae	terrestrial	Terrestrial	leaf-nut-seed-grass	phytophagous	(G)	NO	flexiforce	34	6,36	12,88	2,86	Freeman & Lemen 2008	1,53147891704226	1,10991586302379
Neotoma	floridana	15	Cricetidae	terrestrial	Terrestrial	leaf-bark-seed-nut-fruit	phytophagous	(G)	NO	flexiforce	321	67,48	30,26	4,35	Freeman & Lemen 2008	2,50650503240487	1,48086892368717
Perognathus	flavescens	1	Heteromyidae	burrower	Terrestrial	seed-ford-grass-insect	omnivorous	(P)	NO	flexiforce	6,5		4,64		Freeman & Lemen 2008	0,812913356642856	0,666517980554881
Peromyscus	maniculatus	4	Cricetidae	terrestrial	Terrestrial	leaf-bark-root-seed-nut-fruit-insect	omnivorous	(P)	NO	flexiforce	21	2,58	8,83	1,22	Freeman & Lemen 2008	1,32221929473392	0,945960703577569
Peromyscus	leucopus	10	Cricetidae	terrestrial	Terrestrial	leaf-bark-root-seed-nut-fruit-insect	omnivorous	(P)	NO	flexiforce	23	4,9	10	2,32	Freeman & Lemen 2008	1,36172783601759	1
Reithrodontomys	megalotis	3	Cricetidae	terrestrial	Terrestrial	leaf-seed-nut-fruit-insect	omnivorous	(P)	NO	flexiforce	11,5	2,29	7,67	0,43	Freeman & Lemen 2008	1,06069784035361	0,884795363948981
Sciurus	niger	22	Sciuridae	arboreal	Arboreal	Seed-buds-insect-root-eggs-fungi	phytophagous	(G)	NO	flexiforce	588	87,34	72,95	10,19	Freeman & Lemen 2008	2,76937732607614	1,86302529622947
Sigmodon	hispidus	6	Cricetidae	terrestrial	Terrestrial	leaf-bark-root-seed-nut-fruit-invertebrate	omnivorous	(P)	NO	flexiforce	105	80,28	19,87	7,46	Freeman & Lemen 2008	2,02118929906994	1,29819786710982
Spermophilus	tridecemlineatus	4	Sciuridae	burrower	Terrestrial	Grass-seed-insect	omnivorous	(P)	NO	flexiforce	144	31,98	21,05	4,35	Freeman & Lemen 2008	2,15836249209525	1,32325210017169
Zapus	hudsonius	1	Dipodidae	terrestrial	Terrestrial	seed-fruit-invertebrate	omnivorous	(P)	NO	flexiforce	24,5		7,63		Freeman & Lemen 2008	1,38916608436453	0,88252453795488
Marmota	marmota	30	Sciuridae	burrower	Terrestrial	Grass-leaf	phytophagous	(S)	NO	Piezo	3692,5	505,54	242,64	56,61	This study, S. Ginot	3,56732050398399	2,38496830383922
Apodemus	sylvaticus	103	Muridae	terrestrial	Terrestrial	seed-invertebrate-fruit-root	omnivorous	(P)	NO	Piezo	20,42		9,09		Ginot et al 2018b	1,31005573775089	0,958563883221967
Mus	spretus	35	Muridae	terrestrial	Terrestrial	Seed-fruit-insect	omnivorous	(P)	NO	Piezo	13,72		8,31		Ginot et al 2018b	1,13735411137073	0,919601023784111
Bathyergus	suillus	46	Bathyergidae	subterranean	Subterranean	Herb-grass-bulbs-tubers-roots	phytophagous	(G)	NO	Piezo	534,26	235,58	99,79	43,74	Kraus et al, 2022	2,72775336702327	1,99907091961583
Cryptomys	hottentotus	15	Bathyergidae	subterranean	Subterranean	Bulbs-corms-tubers	phytophagous	(S)	YES	Piezo	60,87	15,61	22,95	9,02	Kraus et al, 2022	1,78437954226254	1,36086216133032
Fukomys	anselli	10	Bathyergidae	subterranean	Subterranean	Root-tubers-bulbs-corms-rhizomes	phytophagous	(S)	YES	Piezo	90,53	14,87	24,92	7,39	Kraus et al, 2022	1,95679252037049	1,39661774258272
Fukomys	damarensis	122	Bathyergidae	subterranean	Subterranean	Bulbs-tubers-root	phytophagous	(S)	YES	Piezo	137,89	37,01	60,58	29,88	Kraus et al, 2022	2,13954360599045	1,78231801361268
Fukomys	darlingi	26	Bathyergidae	subterranean	Subterranean	root	phytophagous	(S)	YES	Piezo	121,1	32,73	32,98	9,49	Kraus et al, 2022	2,08314414314305	1,51831148514669
