species,genus,sp,collection,number,file_name
Abeomelomys sevia,Abeomelomys,sevia,CBUN,MW3200_139,Abeomelomys_sevia_CBUN.lmk
Abrocoma cinerea,Abrocoma,cinerea,NHMUK,1992.302,Abr_cin_NHM_1992_302_skull_1759_1536_2789_00178934.lmk
Acomys airensis,Acomys,airensis,MNHN-ZM-MO,1993-1961,Acomys_airensis_MNHN_1993_1961_skull_2171_1758_1758_00188574.resampled.lmk
Aethomys hindei,Aethomys,hindei,CBUN,ETH1371,Aetomys_hindeo_ETH_1371_skull_1590_1576_3224_00121783.resampled.lmk
Allactaga elater,Allactaga,elater,NHMUK,1886.10.15.15-16,ALLelat_NHMUK188610151516_cranium.lmk
Alticola stoliczkanus,Alticola,stoliczkanus,NHMUK,1975.296,Alticola_NHM_1975_296_skull.resampled.lmk
Ammospermophilus leucurus,Ammospermophilus,leucurus,UWBM,37679,AMMleu_UWBM_37679.lmk
Anisomys imitator,Anisomys,imitator,CBUN,FR2200_020,Anisomys_imitator_CBUN.lmk
Anomalurus derbianus,Anomalurus,derbianus,RMCA,21804,Ano_der_21804_skull_1758_1758_4895_00238159.resampled.lmk
Aplodontia rufa,Aplodontia,rufa,UM,806V,APLruf_UM_806V_skull.lmk
Apodemus sylvaticus,Apodemus,sylvaticus,MB,2018-34-16,Apodemus_sylvaticus_MB_847_2018_34_16_skull_1476_1494_2935_000948818.resampled.lmk
Apomys banahao,Apomys,banahao,CBGP,P0049,Apomys_49_skull_1639_1544_3447_00120681.resampled.lmk
Arvicanthis niloticus,Arvicanthis,niloticus,MNHN-ZM-MO,1993-2522,ARVnilo_MNHN1993_2520.lmk
Arvicola amphibius,Arvicola,amphibius,UM,3109/QM857,Arvicola_QM857_skull.lmk
Atlantoxerus getulus,Atlantoxerus,getulus,NHMUK,1977.291,Atlantoxerus_getulus_NHMUK1977_2910.lmk
Bathyergus suillus,Bathyergus,suillus,CBUN,BS13,Bat_sui_BS13_skull_2790_1702_1684_00293502.resampled.lmk
Batomys granti,Batomys,granti,FMNH,193696,Batomys_granti_FMNH_193696_skull_2772_1566_1578_00156961.resampled.lmk
Brachyuromys betsileoensis,Brachyuromys,betsileoensis,FMNH,169221,BRAbetsi_FMNH169221.lmk
Bullimus luzonicus,Bullimus,luzonicus,FMNH,234993,Bullimus_luzonicus_FMNH_234993_skull_2334_1662_1665_00238216.resampled.lmk
Callosciurus prevostii,Callosciurus,prevostii,MB,2022.2.5,CALpre_MB_2022_2_5.lmk
Calomyscus baluchi,Calomyscus,baluchi,USNM,429369,Calomyscus_baluchi_UNSM429369_skull.lmk
Cannomys badius,Cannomys,badius,CBUN,HDMK HUAY,Cannomys_badius_HUAY_skull_1420_1380_1884_00289604.resampled.lmk
