Clade,Family,Subfamily,Species,Collection,Specimen number,Muscles dataset,Landmarks dataset,Life style
Supramyomorpha,Muridae,Murinae,Abeomelomys sevia,University of South Bohemia,CBUN MW3200_139,YES,YES,arboreal
Hystricomorpha,Abrocomidae,,Abrocoma cinerea,Natural History Museum (London),NHM 1992.302,YES,YES,terrestrial
Supramyomorpha,Muridae,Deomyinae,Acomys airensis,Muséum National d’Histoire Naturelle (Paris),MNHN 1993-1961,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Aethomys hindei,University of South Bohemia,ETH 1371,NO,YES,terrestrial
Supramyomorpha,Dipodidae,Allactaginae,Allactaga elater,Natural History Museum (London),NHM 1886.10.15.15-16,NO,YES,terrestrial
Supramyomorpha,Cricetidae,Arvicolinae,Alticola stoliczkanus,Natural History Museum (London),NHM 1975.296,YES,YES,NA
Sciuromorpha,Sciuridae,Xerinae,Ammospermophilus leucurus,Burke Museum of Natural History and Culture (Seattle),UWBM 37679,YES,YES,burrower
Supramyomorpha,Muridae,Murinae,Anisomys imitator,University of South Bohemia,CBUN FR2200_020,YES,YES,NA
Supramyomorpha,Anomaluridae,Anomalurinae,Anomalurus derbianus,Royal Museum for Central Africa (Tervuren),RMCA 21804,YES,YES,arboreal/gliding
Supramyomorpha,Muridae,Murinae,Anonymomys mindorensis,Field Museum of Natural History (Chicago),FMNH 222898,YES,NO,arboreal
Sciuromorpha,Aplodontidae,,Aplodontia rufa,Université de Montpellier,UM 806V,YES,YES,burrower
Supramyomorpha,Muridae,Murinae,Apodemus sylvaticus,Muséum d’Histoire Naturelle de Bourges,MB 2018-34-16,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0049,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0066,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0032,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0045,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0064,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0067,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0064,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys datae,Field Museum of Natural History (Chicago),FMNH 188274,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys datae,Field Museum of Natural History (Chicago),FMNH 188272,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys microdon,Field Museum of Natural History (Chicago),FMNH 209408,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Apomys musculus,Field Museum of Natural History (Chicago),FMNH 193681,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Archboldomys maximus,Field Museum of Natural History (Chicago),FMNH 193524,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Arvicanthis niloticus,Muséum National d’Histoire Naturelle (Paris),MNHN 1993-2520,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Arvicanthis niloticus,Muséum National d’Histoire Naturelle (Paris),MNHN 1993-2522,NO,YES,terrestrial
Supramyomorpha,Cricetidae,Arvicolinae,Arvicola amphibius,Université de Montpellier,QM858,YES,NO,burrower (C)
Supramyomorpha,Cricetidae,Arvicolinae,Arvicola amphibius,Université de Montpellier,QM857,NO,YES,burrower (C)
Hystricomorpha,Hystricidae,,Atherurus africanus,University of South Bohemia,CBUN CSB012,YES,NO,terrestrial
Sciuromorpha,Sciuridae,Xerinae,Atlantoxerus getulus,Natural History Museum (London),NHM 1977.291,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Baiyankamys shawmayeri,University of South Bohemia,CBUN MW3200_209,YES,NO,semiaquatic
Hystricomorpha,Bathyergidae,,Bathyergus suillus,?,BS13,YES,YES,subterranean
Hystricomorpha,Bathyergidae,,Bathyergus suillus,?,BS2,YES,NO,subterranean
Hystricomorpha,Bathyergidae,,Bathyergus suillus,?,BS4,YES,NO,subterranean
Hystricomorpha,Bathyergidae,,Bathyergus suillus,?,BS8,YES,NO,subterranean
Supramyomorpha,Muridae,Murinae,Batomys granti,Field Museum of Natural History (Chicago),FMNH 193696,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Berylmys bowersi,Université de Montpellier,7219,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Berylmys bowersi,Université de Montpellier,7220,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Berylmys bowersi,Université de Montpellier,7221,YES,NO,terrestrial
Supramyomorpha,Nesomyidae,Nesomyinae,Brachyuromys betsileoensis,Field Museum of Natural History (Chicago),FMNH 169221,NO,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Bullimus luzonicus,Field Museum of Natural History (Chicago),FMNH 234993,YES,YES,terrestrial
Sciuromorpha,Sciuridae,Callosciurinae,Callosciurus prevostii,Muséum d’Histoire Naturelle de Bourges,MB 2022.2.5,YES,YES,arboreal
Supramyomorpha,Calomyscidae,,Calomyscus baluchi,National Museum of Natural History (Washington DC),USNM 429373,YES,NO,terrestrial
Supramyomorpha,Calomyscidae,,Calomyscus baluchi,National Museum of Natural History (Washington DC),USNM 429369,YES,YES,terrestrial
Supramyomorpha,Spalacidae,,Cannomys badius,University of South Bohemia,CBUN HDMK 18,YES,NO,subterranean (C)
Supramyomorpha,Spalacidae,,Cannomys badius,University of South Bohemia,CBUN HUAY,NO,YES,subterranean (C)
Hystricomorpha,Capromyidae,Capromyinae,Capromys pilorides,University of South Bohemia,CBUN CBS009,YES,YES,terrestrial
Supramyomorpha,Castoridae,,Castor fiber,Muséum d’Histoire Naturelle de Bourges,MB no number,YES,NO,semiaquatic
Hystricomorpha,Caviidae,Caviinae,Cavia porcellus,Université de Montpellier,UM 572N (ou 499V?),YES,YES,terrestrial
Supramyomorpha,Heteromyidae,Perognathinae,Chaetodipus formosus,Burke Museum of Natural History and Culture (Seattle),UWBM 37577,YES,YES,burrower
Hystricomorpha,Chinchillidae,,Chinchilla chinchilla,Muséum d’Histoire Naturelle de Bourges,MB 2022.2.3,YES,NO,terrestrial
Hystricomorpha,Chinchillidae,,Chinchilla lanigera,Natural History Museum (London),NHM R320,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Chiropodomys gliroides,?,BORN014,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Chiropodomys major,?,BORN678,YES,YES,arboreal
Supramyomorpha,Muridae,Murinae,Chiropodomys major,?,EBD BORN678,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Chrotomys mindorensis,Field Museum of Natural History (Chicago),FMNH 222085,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Chrotomys mindorensis,Field Museum of Natural History (Chicago),FMNH 222107,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Chrotomys mindorensis,Field Museum of Natural History (Chicago),FMNH 222111,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Coccymys ruemmleri,?,CBUN MW 3700-027,YES,YES,terrestrial
Hystricomorpha,Erethizontidae,,Coendou prehensilis,?,JAGUARS M5167,YES,YES,arboreal
Supramyomorpha,Muridae,Murinae,Crateromys heaneyi,University of South Bohemia,CBUN no number,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Colomys goslingi,Field Museum of Natural History (Chicago),FMNH 207491,NO,YES,semiaquatic
Supramyomorpha,Nesomyidae,Cricetomyinae,Cricetomys gambianus,Centre de Biologie pour la Gestion des Populations (Montpellier),KB6336,NO,YES,terrestrial
Supramyomorpha,Nesomyidae,Cricetomyinae,Cricetomys gambianus,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP CR01,YES,NO,terrestrial
Supramyomorpha,Nesomyidae,Cricetomyinae,Cricetomys gambianus,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP LG1553,YES,NO,terrestrial
Supramyomorpha,Nesomyidae,Cricetomyinae,Cricetomys gambianus,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP LG1555,YES,NO,terrestrial
