"","DM","ePT","iPT","SM","T","ZM"
"Abrocoma cinerea NHM 1992.302",0.0871641931358201,-0.268292497318802,-0.0936960571132525,0.47710392292117,-0.034036098765295,-0.16824346285964
"Acomys airensis MNHN-ZM-MO 1993-1961",0.0430670053213166,0.209797979534676,-0.227152145157083,0.107060660925483,-0.0171908476434495,-0.115582652980942
"Alticola stoliczkanus NHM 1975.296",-0.0112140786804342,0.0112781670226969,-0.252309098653811,0.180183618176007,0.145345840615263,-0.0732844484797224
"Ammospermophilus leucurus UWBM 37679",-0.0252587096914051,0.23447069320007,-0.516827440747109,0.211616129985209,0.0805185843607664,0.0154807428924675
"Anomalurus derbianus RMCA 21804",0.172104404049674,-0.0216909229898456,-0.595721114211856,0.147595131014735,0.120648131479858,0.177064370657435
"Anonymomys mindorensis FMNH 222898",-0.000838531715637878,0.0880644679770482,-0.367261368592453,0.224584480060821,0.0325858229901283,0.022865129280093
"Apomys banahao CBGP P0049",0.19459634599255,-0.0730790391873214,-0.46900608904331,0.192434298755565,0.00413148041968737,0.150923003062828
"Apomys banahao CBGP P0066",0.255036939158791,-0.0148863059686885,-0.520599573264038,0.275936910962245,-0.0978534651302666,0.102365494241957
"Apomys datae FMNH 188274",0.117419735933538,-0.0376450126736196,-0.425559934913396,0.225221211519847,0.0121003287271357,0.108463671406494
"Apomys microdon FMNH 209408",0.0699500608992888,0.0123114510965315,-0.423136696163648,0.244245263633878,0.068253595366805,0.0283763251671437
"Apomys musculus FMNH 193681",0.0413644961065244,0.200072759916748,-0.328524688506149,0.0725324550040984,0.0730578799205492,-0.0585029024417711
"Archboldomys maximus FMNH 193524",0.0292724860446196,0.146048901036411,-0.179390847386899,0.169384693908449,-0.00472172628686674,-0.160593507315715
"Arvicanthis niloticus MNHN-ZM-MO 1993-2520",0.0740048613807133,-0.183389984969934,-0.424378175676106,0.194652153578754,0.187891321284652,0.15121982440192
"Arvicola amphibius QM858",0.226944514734934,-0.382165453534381,-0.33163821812232,0.220005432735672,0.301776642882092,-0.0349229186959985
"Atlantoxerus getulus NHM 1977.291",0.165642304152171,-0.184910865851532,-0.470239416322649,0.231869600462796,0.125728316241241,0.131910061317973
"Batomys granti FMNH 193696",0.00352277036745136,0.0606481839526091,-0.342152072037698,0.210116047596331,0.062334186933657,0.00553088318764931
"Bullimus luzonicus FMNH 234993",0.135368495561864,-0.192000305919279,-0.292955749944135,0.194877692131786,0.164151768708328,-0.0094419005385635
"Callosciurus prevostii MB 2022.2.5",0.0570076143337153,0.0956339756635481,-0.5325796062832,0.307002587989963,0.180520231876377,-0.107584803580404
"Cannomys badius CBUN HDMK 18",-0.00369380912044277,-0.162497565003538,-0.194104783784973,0.293608979917699,0.118756426582816,-0.052069248591561
"Capromys pilorides CBUN CBS009",0.0579369743450712,-0.304084443181328,-0.359239589193227,0.778775505605341,0.024475542218641,-0.197863989794499
"Cavia porcellus UM 572N (ou 499V?)",0.266253191727754,-0.210195810058847,-0.274418971225966,0.300760518520576,-0.035905065487368,-0.04649386347615
"Chinchilla chinchilla MB 2022.2.3",0.128118611838647,-0.199013950845155,-0.220401603176487,-0.0201159322167729,0.115918134409272,0.195494739990496
"Chrotomys mindorensis FMNH 222085",0.0774214871154337,-0.166655838869836,-0.343856255001378,0.212120422079432,0.226942210774657,-0.00597202609830755
"Coccymys ruemmleri CBUN MW 3700-027",-0.0203040184837335,0.137730785752025,-0.213994823772274,0.0369093983249282,0.0104635951106607,0.0491950630683939
"Coendou prehensilis JAGUARS M5167",0.297320712334685,0.153764073216385,-0.23053061244832,-0.0211048948683745,-0.0608955600243942,-0.138553718209982
"Cricetomys gambianus CBGP CR01",0.157388330256252,-0.242640460830322,-0.46605139601101,0.210557247439941,0.141881979025497,0.198864300119642
"Cricetomys gambianus CBGP LG1555",0.0436379160088363,-0.0605110703887598,-0.423330663619827,-0.0289075302354881,0.249560738758588,0.219550609476651
"Ctenomys talarum NHM 9.12.1.68-70",-0.0545771083553231,-0.138562242426177,0.12276410165076,0.148125249739143,-0.129286193038844,0.0515361924304409
"Cuniculus paca JAGUARS M5329",0.257843636821336,-0.117908652766009,-0.391934051688035,0.086567187734059,0.104574735794069,0.06085714410458
"Cynomys souslik UM unreg coll. Poitevin",0.0628590503605016,-0.0139031648770379,-0.276585738162522,0.197606017056069,0.109141132827918,-0.0791172972049289
"Dactylomys dactylinus RBM1232",0.138130440919464,-0.0926086441026207,-0.356916502511587,0.202072113482399,0.0878646902061919,0.0214579020061535
"Dasyprocta leporina JAGUARS M5324",0.147262404127495,-0.417849116167441,-0.258158539447068,0.509945600816048,-0.114280658010531,0.133080308681496
"Dendromus mystacalis NHMUK 1975.3181",0.00837742948555055,0.153386739376534,-0.261803041288833,0.0204837974494439,0.0581462799133373,0.0214087950639657
"Dicrostonyx groenlandicus NHM 1995.14",0.0693114972394957,0.0449736231104248,-0.260356305933551,0.149481987094256,0.0577674450754044,-0.0611782465860304
"Dipodomys sp. CBUN 002",0.131498006459087,0.0508158050542678,-0.635136411107552,0.490946207262881,-0.0405635945523169,0.00243998688363312
"Dolichotis patagonum THOIRY 01",0.213503084424909,-0.316804771803863,-0.373860868101386,0.384761285374597,0.0109489094282121,0.0814523606775324
"Echiothrix leucura AMNH 225046",-0.0333457411803263,-0.286931283895993,0.137640304748587,-0.0283885779400769,0.220463857697932,-0.00943855943012225
"Eliomys quercinus MC88",0.0763386634386755,0.00605451402207315,-0.29994929039752,0.230357515352931,0.0681102354211376,-0.080911637837297
"Ellobius sp. CBUN FV15",0.111581714571001,-0.113936710572224,-0.596605754223086,0.217823492882603,0.285449662986796,0.0956875943549105
"Euryzygomatomys spinosus NHM 9.11.19.29-31",0.131980839509455,-0.0557445356049173,-0.165799043904178,0.0873195561384369,-0.0736360905127641,0.0758792743739677
"Exilisciurus whiteheadi NHM 1895.10.4.40",-0.0256456069033981,0.213683247246316,-0.38171902809281,-0.00044926996248461,0.168809352627645,0.0253213050847303
"Felovia vae NHM 1991.99",0.102126508454389,-0.0800168139522124,-0.214338128854648,0.35174241105966,-0.0960692061447718,-0.0634447705624174
"Funambulus palmarum NHM 1971.792",-0.0321963850661889,0.302025479059798,-0.466865014809407,-0.0163984940917948,0.111228636875376,0.102205778032217
"Funisciurus anerythrus RMCA 1988.011.M.004",0.0293156030660277,-0.0577464082979552,-0.469861006428064,0.116573461865122,0.25377909114277,0.1279392586521
"Galea musteloides CBUN CSB 005",0.471672923063984,-0.380117561433232,-0.173545599287093,0.27189531137159,-0.0903519711094879,-0.0995531026057612
"Grammomys poensis rutilans MNHN-ZM-MO 1996-2106",0.0268260974584111,0.0310761846259368,-0.352962556024438,0.237634951547501,0.105558101814238,-0.0481327794216495
"Graphiurus sp. ETH0706",0.110545523761482,-0.196295966503116,-0.250852620744844,0.238368135714576,0.066246272988997,0.0319886547829054
"Halmaheramys wallacei bisa rat 374",0.175627624366971,-0.262829748376946,-0.359124796157889,0.33466807136812,0.0663342749368537,0.0453245738628902
"Hapalomys longicaudatus AMNH 242686",0.078049811091864,0.152607019939402,-0.265438000369515,0.186554267663759,-0.148558501039207,-0.00321459728630327
"Heliosciurus gambianus NHM 2022.22",0.00334135201916961,0.128366266424556,-0.400927490857352,0.251415644681151,-0.0351178678709649,0.0529220956034409
"Hydrochoerus hydrochaeris JAGUARS M5306",-0.382098337886888,-0.370678020046089,0.53684803259635,0.49870132027161,-0.27138953292571,-0.0113834620092734
"Hylaeamys megacephalus JAGUARS M2983",0.170472073075953,-0.451403970409897,-0.191451915113816,0.297469469405883,0.148725670685042,0.0261886723568343
"Hypogeomys antimena CBUN NMP",0.288464395875385,-0.263388493601086,-0.718598117852824,0.45342076385029,0.024336012110435,0.2157654396178
"Idiurus macrotis RMCA 38520",0.361285816298141,0.0116618477073944,-0.793867379996004,0.236722440269694,0.133530232584061,0.050667043136713
"Jaculus jaculus NHM 95.340",0.159468734941467,-0.0453789767819151,-0.175443492202248,0.106177516797817,-0.0415553268875975,-0.00326845586752395
"Jaculus jaculus NHM 79.2181",0.0285579119167902,-0.111870310291771,0.02121241724798,0.0315275777592253,0.0866799360053631,-0.0561075326375879
"Kannabateomys amblyonyx NHM 9.11.19.28",0.151907164645651,0.00188474924664901,-0.461513050286918,0.25960051239432,0.053638302144481,-0.0055176781441831
"Kerodon rupestris CBUN CSB2022-001",0.105441260988243,-0.354166118214817,-0.00762521676674173,0.183843775653612,0.0700554926969735,0.00245080564273079
"Lagostomus maximus NHM 1970.25",0.212883062372499,-0.366007897728466,-0.311106450960174,0.2139805565379,0.265758753450905,-0.0155080236726649
"Laonastes aenigmamus UM TK2007-06",0.284359529625334,-0.317723912842599,0.0699083695134257,0.296530258400748,-0.186058794138791,-0.147015450558119
"Lemmus lemmus NHM 2022.23",0.130161088715735,0.128020024217734,0.00191694554058928,-0.0682895826221388,-0.122043904197671,-0.0697645716542477
"Lemmus sibiricus NHM 1976.587",0.105072199506288,-0.0729996244257589,-0.259100351080841,0.103067524357093,0.0704830491649421,0.0534772024782773
"Lenothrix canus EBD BOR036",0.0270734361952439,0.123879808613019,-0.410442175119677,0.247520926395795,0.0678404810277005,-0.0558724771120825
"Leopoldamys sabanus EBD BOR041",-0.0081169119255181,-0.0634320986993317,-0.345219527219757,0.184298691045729,0.0827747310217097,0.149695115777168
"Leptomys sp. CBUN FR 2200-033",-0.0375706831545715,0.0536372755135291,-0.279862152417581,0.156874459382563,0.118288512651422,-0.0113674119753627
"Lophiomys imhausi NHM unreg",0.216182816212682,0.0488767233567409,-0.805143967063731,0.278250209427717,0.00924212820684006,0.252592089859752
"Lorentzimys nouhuysi CBUN MW-2700-131",0.000729437832177597,0.11467501935548,-0.20485693504735,0.0750297864939356,0.0259887186209616,-0.0115660272552047
"Macruromys sp. CBUN FR 1200-029",0.11360721468643,-0.143897735252433,-0.485119004200263,0.285059215506555,0.0220202206067332,0.208330088652976
"Makalata didelphoides UM V36-40",0.197304194626034,-0.382243476234605,-0.0264001136624816,0.482335893923511,-0.18008273246925,-0.0909137661832084
"Malacothrix typica NHM 1898.2.3.5",0.0293538364631456,0.191666959241586,-0.234042894371755,0.140842269519987,-0.109422618606992,-0.0183975522459713
"Massoutiera mzabi NHM 19.7.7.2880",0.0168726410903527,-0.0894303817400858,-0.166033980622367,0.270547488932108,0.0506741969156089,-0.0826299645756176
"Mastacomys fuscus MV C9999",0.0137110201808208,-0.249649308799741,-0.178484291372209,0.41853579976149,0.317201805559592,-0.321315025329952
"Mastomys natalensis MNHN-ZM-MO 1993-168",0.0514140259942711,-0.00430461628459605,-0.38926684301689,0.208165857381014,0.108236490976475,0.0257550849497254
"Pseudohydromys ellermani CBUN FR 2200-043",0.0381870704170615,0.184396376832568,-0.449354855059929,0.189484884607802,0.143077374401619,-0.105790851199121
"Melasmothrix naso AMNH 225097",-0.119290808346197,0.237774210456724,-0.111048958989079,0.154347631271707,0.0398361454984316,-0.201618219891587
"Mesocricetus auratus NHM 1992.42",0.156538852473217,-0.340340444842205,-0.340514365855665,0.426563967686827,0.12800652864048,-0.0302545381026554
"Mesomys hispidus JAGUARS M1281",0.0108206159020509,-0.00265636947208485,-0.270347317653024,0.265576965579623,0.0397810377616622,-0.0431749321182273
"Microcavia australis NHM 1992.483",0.130938531778003,-0.210519198889026,-0.256512255758157,0.402652295272105,-0.0272501887042875,-0.0393091836986393
"Microtus sp. MB 2018-34-15",0.0817636042963679,-0.471896402220978,-0.349120844961473,0.58324189673116,0.178360244699277,-0.0223484985443537
"Monticolomys koopmani FMNH 161703",0.0479888022432931,0.00864224501375924,-0.318702965534626,0.148662216752686,0.109614908128328,0.00379479339655938
"Mus crociduroides LSUMZ 39557",-0.0393657822749346,0.26113511784046,-0.0819486014800345,-0.110234632510466,0.14131635831074,-0.170902459885765
"Mus crociduroides LSUMZ 39556 (HH1430)",-0.000165302361817845,0.12147471053873,-0.00423359995260071,-0.0690026579949932,0.0112857294629186,-0.059358879692237
"Muscardinus avellanarius NHM 1977.856",0.142201616212857,-0.166100249394798,-0.202093462592809,0.272802031829345,0.112416930770498,-0.159226866825093
"Myocastor coypus QM 1150",0.0969344221190798,-0.478204296855578,-0.0756667709067575,0.498475013984381,-0.00740988079546885,-0.0341284875456564
"Myodes sp. NHM 1856-7-9-9-15b",-0.00339984887629139,0.12171693291328,-0.114033614676589,0.103507387800557,0.0770970278261943,-0.184887884987151
"Myodes sp. NHM 1856-7-9-9-15a",-0.0319762807312378,-0.0629746686087109,0.0281333192244238,0.257503972091421,0.0447614627614049,-0.235447804737301
"Myosciurus pumilio NHM 1948.974",-0.0146200638942579,0.314850195632573,-0.21098211810376,0.0757395867665191,-0.113679612578638,-0.0513079878224363
"Nannosciurus exilis tetectus NHM 1892.6.1.10",-0.244194247318229,-0.244961312051902,0.39350652446635,0.187700996797453,-0.0229476186883455,-0.069104343205326
"Nannosciurus melanotis NHM 2022.21",-0.203104612565616,0.461142544969325,-0.129927421987082,0.110257719674608,-0.101569807608414,-0.136798422482822
"Nannospalax leucodon NHMUK 1986.1781",0.0515727281513871,0.178901611641587,-0.36586993668503,0.119440669406833,0.010703996667276,0.0052509308179463
"Neacomys paracou JAGUARS M1674",0.277715641863771,-0.189462608853822,-0.319581547575149,0.0341240067662481,0.0557140253698991,0.141490482429052
"Nectomys rattus JAGUARS V3614",0.123817437938112,0.0961754583446705,-0.552604001659238,0.330217239886721,0.0144682341420304,-0.0120743686522965
"Neotoma lepida UWBM 37681",0.108621338419484,-0.272005726993482,-0.232990380628618,0.175159050494444,0.189552339509794,0.0316633791983789
"Nesokia indica NHM 1909.7.1.82.84",0.00256394971598442,0.0770655797442427,-0.241401572076689,-0.106919988443602,0.255734708493374,0.0129573225666892
"Nesomys rufus FMNH 173271",0.130473443794534,-0.174330769338718,-0.307564046137641,0.301350238654602,0.0313259553450131,0.0187451776822091
"Nothocricetulus migratorius NHM 1880.4.9.11",0.117875481959619,-0.193859249388969,-0.364345301358293,0.277380134359669,0.178630585366843,-0.0156816509388686
"Notomys alexis MV 31400",-0.0283525294677957,0.199911580456334,-0.171149298187858,0.118275687761018,-0.111844970693543,-0.00684046986815487
"Octodon degus UM 506V",0.0215268219904926,-0.194070120410944,-0.0461844218376759,0.303781628979016,-0.0849366404417373,-0.000117268279152096
"Oecomys auyantepui JAGUARS M2029",0.121253245336763,0.0612244791774224,-0.512744641180041,0.26451836106824,0.00435790009331305,0.0613906555043028
"Oecomys rutilus UM V3625",0.180920331096293,0.155937530728397,-0.2731602089759,0.222428737644647,-0.202071353020985,-0.0840550374724516
"Oligoryzomys delicatus JAGUARS M3252",0.149456413220147,-0.258291703098287,-0.0762128085307359,0.038897942905096,0.226347462898958,-0.0801973073951783
"Ondatra zibethicus UM 486N",-0.0130542815439462,0.0773723842253956,-0.110848518601596,0.203024085148011,0.0495449507683718,-0.206038619996236
"Onychomys torridus UWBM 37628",0.155272587797942,0.0652628534013995,-0.239825283321779,0.186815681033721,-0.0356133941609725,-0.131912444750311
"Otomys tropicalis CBUN KE211",-0.0511898852124772,-0.0368933129724113,-0.148815223334608,-0.0590920770984229,0.250419500215597,0.0455709984023214
"Palawanomys furvus FMNH 195411",0.0333656010213512,0.179477042331929,-0.408234702530354,0.162639589776026,0.115893025807115,-0.0831405564060679
"Paraleptomys whilelmina AMNH 152744",-0.0945683232170709,0.220895240374846,-0.161515680501418,0.140238784506078,0.00921074688517478,-0.114260768047611
"Pectinator spekei NHM 1905.11.4.22",0.112815205738215,-0.0150568325495452,-0.0455574972922982,0.422522216963571,-0.246833194996554,-0.22788989786339
"Pedetes capensis CESKE CBS 1",0.138424970338631,-0.0239302336638417,-0.341851161112362,0.182016580722964,-0.0195237009797475,0.0648635446943548
"Petinomys sp. NHM 1903.11.2.5",0.101715651642086,0.142833180923655,-0.353171080920937,0.1994583945172,-0.133333083149848,0.0424969369878438
"Petromus typicus NHM 1928.9.11.502",0.171170456225172,-0.331275783093873,-0.405024451850383,0.431007274724503,-0.0858396170020411,0.219962120996623
"Petromyscus sp. CBUN ANG0154",0.0249076580423995,0.194109467767125,-0.0631400121156894,0.170629016049392,-0.241998055074205,-0.0845080746690228
"Petromyscus sp. CBUN ANG0162",0.180261695054439,-0.157972468525766,-0.285760058033822,0.28520678799827,-0.0338122771993666,0.0120763207062451
"Phodopus sp. CBUN -",0.142259365289964,0.217423546310665,-0.316684629255401,0.139294600952928,-0.131320540831355,-0.0509723424668018
"Pogonomelomys sp. CBUN FR2200-039",-0.00157972681956212,0.262341333004087,-0.312508383169022,0.110560429145424,-0.0649778418599956,0.00616418969906902
"Proechimys guyannensis M1199",0.0370964451749367,-0.088513063494607,0.0910515268380792,0.10823941544082,-0.116743921126415,-0.0311304028328133
"Pseudohydromys murinus CBUN MW 2700-106",-0.000228238897725897,0.226695957156536,-0.126116606527371,0.0541125793656737,-0.00383707985336335,-0.15062661124375
"Pseudomys australis MV C4544",0.0745120790116238,0.0229404865685643,-0.320235211138994,0.152201482267395,0.000674147465497741,0.0699070158259125
"Rattus baluensis EBD BOR210",0.0983868633817692,0.0847175583766356,-0.0848442853438932,0.183422151879952,-0.261216058984762,-0.0204662293097021
"Rattus norvegicus UM Paul Gervais",0.176308475701304,-0.0875027009564052,-0.28563909462697,0.159857931322917,0.0710156576623796,-0.034040269103225
"Ratufa sp. NHM 2022.24",0.153034591790269,0.174886771361908,-0.421131832098646,0.21187857844213,0.0611023685072548,-0.179770478002915
"Reithrodontomys megalotis UWBM 74514",0.112975414156975,0.0749130361873509,-0.247586921445643,0.143408622061011,-0.00485320089416395,-0.0788569500655303
"Rhinosciurus robinsoni NHM 1915.12.28.6",-0.0570676358730363,0.270108321921644,-0.158736327417436,0.111911506092907,-0.0201779487407317,-0.146037915983346
"Saccostomus campestris UM TDR106",-0.0466514100918458,-0.0139357833259496,-0.215255943974805,0.166937227172428,0.0692742789311087,0.0396316312890641
