"","DM","ePT","iPT","SM","T","ZM"
"Abrocoma cinerea NHM 1992.302",0.299928205859045,-1.39246786820872,-0.534796470814184,1.28970288490567,0.153307052109158,0.184326196149022
"Acomys airensis MNHN-ZM-MO 1993-1961",0.783040199762446,-0.597354439230256,-0.277831760922817,0.00985031152896405,0.278114298123643,-0.195818609261982
"Alticola stoliczkanus NHM 1975.296",1.2869456640713,-1.11836009961756,-0.80820517131372,0.157510443887958,0.698830807502299,-0.216721644530275
"Ammospermophilus leucurus UWBM 37679",0.976538057113461,-0.624556541129571,-0.232033375730414,0.233702643172399,0.390545114665369,-0.744195898091246
"Anomalurus derbianus RMCA 21804",-0.199707033604833,-0.678129233316164,-0.290067975556761,0.549980557875532,0.0939452058334516,0.523978478768775
"Anonymomys mindorensis FMNH 222898",0.931927206555749,-1.02262374069514,-0.425020412098544,0.430324309558531,0.518155022931563,-0.43276238625216
"Apomys banahao CBGP P0049",0.714753152721088,-0.869620791049796,-0.477444915060315,0.48396625209431,0.339782784461274,-0.191436483166563
"Apomys banahao CBGP P0066",0.647073170901323,-0.975727969344944,-0.381484862843913,0.526853540839747,0.552470705210047,-0.369184584762261
"Apomys datae FMNH 188274",0.724562562261519,-0.782359786646986,-0.408735284394481,0.463050207543123,0.47284220744774,-0.469359906210916
"Apomys microdon FMNH 209408",0.757761750468568,-1.19998285623375,-0.256293150171479,0.507287305437387,0.431433962919127,-0.240207012419855
"Apomys musculus FMNH 193681",0.763370447544042,-0.718234093380173,-0.665124268066225,0.324288728636893,0.467389572277566,-0.171690387012104
"Archboldomys maximus FMNH 193524",0.686564813869805,-0.664053944629322,-0.218888966674473,0.0792176231131919,0.78121441895012,-0.664053944629322
"Arvicanthis niloticus MNHN-ZM-MO 1993-2520",0.968687067208499,-0.766670622275047,-0.55536152860784,0.293847769124631,0.469676833313099,-0.410179518763342
"Arvicola amphibius QM858",1.32726445917976,-0.80490651092869,-1.42585740028415,0.0776670520489546,1.05821971814148,-0.232387318157359
"Atlantoxerus getulus NHM 1977.291",0.735433975841505,-0.557118833246687,-0.176555674133259,0.624791335057262,0.232479591283611,-0.859030394802432
"Batomys granti FMNH 193696",0.106293592972046,-0.6499049300537,-0.50354852195326,0.609821316093813,0.51528184923708,-0.077943306295978
"Bullimus luzonicus FMNH 234993",1.09426423029699,-1.07410716080835,-0.803816831068439,0.343842641625302,0.55606912446744,-0.116252004512945
"Callosciurus prevostii MB 2022.2.5",0.889195239675028,-0.629653474421559,-0.0390599060006584,0.0590194257434651,0.392711803844079,-0.672213088840355
"Cannomys badius CBUN HDMK 18",0.940818993749832,-1.49213830126953,-0.424370687952522,0.336697839748615,0.77899952521327,-0.140007369489663
"Capromys pilorides CBUN CBS009",0.353829040451443,-0.640845948203785,-0.911393595834979,0.844932695947998,-0.123614636408862,0.477092444048185
"Cavia porcellus UM 572N (ou 499V?)",0.253134379881888,-1.55561097276968,0.0112422654152823,1.09001182975238,0.23550788144608,-0.0342853837259573
"Chinchilla chinchilla MB 2022.2.3",0.0478961145692592,-0.299860675918259,-0.344291198272866,0.658522271441201,-0.992073713486407,0.929807201667071
"Chrotomys mindorensis FMNH 222085",0.833390384749552,-0.349405404258125,-0.797249735335151,0.105968914971651,0.802400170732786,-0.595104330860715
"Coccymys ruemmleri CBUN MW 3700-027",0.91919525372382,-0.645468089874202,-0.693962439812812,0.32045775763495,0.459043920921097,-0.359266402592855
"Coendou prehensilis JAGUARS M5167",-0.827142953408525,-0.557056642847123,-0.609783539873697,0.664976931515214,0.558375913294836,0.770630291319296
"Cricetomys gambianus CBGP CR01",0.681151295163207,-1.46528262665003,-0.964918776719068,0.59127462119622,0.933229485892379,0.224546001117289
"Cricetomys gambianus CBGP LG1555",0.0134217994811616,-0.96433902522555,-0.407216227051216,0.5538002582073,0.660663403749662,0.143669790838642
"Ctenomys talarum NHM 9.12.1.68-70",0.41316444259796,-1.20601606603496,-0.414702014313599,1.15067305285203,-0.309499989820222,0.366380574718792
"Cuniculus paca JAGUARS M5329",0.10275012485687,-1.04094473210466,-0.43851855862793,0.714585798826936,-0.13851364790815,0.800641014956935
"Cynomys souslik UM unreg coll. Poitevin",1.07209843025635,-1.53198588074262,-0.064980139239559,0.261221814661798,0.610974640780013,-0.347328865715977
"Dactylomys dactylinus RBM1232",0.49011199582734,-0.628381663394599,-0.757252186548779,0.781197998363849,-0.286575753828017,0.400899609580205
"Dasyprocta leporina JAGUARS M5324",0.0416812101981588,-0.82852076378653,-0.557276557777597,0.877994425571916,-0.271376064275579,0.73749775006963
"Dendromus mystacalis NHMUK 1975.3181",0.204569222150005,-0.501000478408497,-0.339732330812375,0.309929737807832,0.405239917612156,-0.0790060683491223
"Dicrostonyx groenlandicus NHM 1995.14",1.40670571499085,-0.838622509895179,-0.628110705486869,-0.43176367333841,0.612471844451628,-0.120680670722017
"Dipodomys sp. CBUN 002",1.12601920289419,-1.0402493329961,-0.0278442395292071,0.0816876282384179,0.185606182579343,-0.325219441186648
"Dolichotis patagonum THOIRY 01",0.255647093617458,-0.428914839291547,-0.228726401821381,0.800550216978999,-0.749945159821651,0.351389090338123
"Echiothrix leucura AMNH 225046",0.781851517304709,-0.544112593202958,-0.221385612190003,-0.197311267043766,0.500582006905435,-0.319624051773416
"Eliomys quercinus MC88",0.721216733393455,-0.930621545111306,-0.13466487068514,0.186918753442323,0.460438512081599,-0.303287583120932
"Ellobius sp. CBUN FV15",1.25358247930999,-1.25460185534735,-0.772444126450934,-0.291593498905738,1.13933301623492,-0.0742760148408892
"Euryzygomatomys spinosus NHM 9.11.19.29-31",0.36070911356685,-1.05213142879274,-0.743337971087217,1.12846420581437,-0.125871997050267,0.432168077548995
"Exilisciurus whiteheadi NHM 1895.10.4.40",1.42966316375571,-0.262485473942674,-0.446005353228738,-0.00520087867526441,-0.880669616029165,0.164698158120133
"Felovia vae NHM 1991.99",0.208786666728342,-1.24156533069177,0.405316569524462,1.03451782155677,-0.756294229315245,0.349238502197439
"Funambulus palmarum NHM 1971.792",0.781872144613802,-0.577428849242712,-0.460791945516951,0.172494847119315,0.553862403648419,-0.470008600621875
"Funisciurus anerythrus RMCA 1988.011.M.004",0.803859588120802,-1.08644531927497,-0.373268856839452,0.283825392376764,0.700969465349075,-0.328940269732221
"Galea musteloides CBUN CSB 005",0.253776616046965,-1.10956960644395,0.0791631001369824,1.1047091919305,-0.304588247747398,-0.0234910539231009
"Grammomys poensis rutilans MNHN-ZM-MO 1996-2106",0.831892931708505,-1.12557803974788,-0.314647823531555,0.132155941469504,0.60936495443651,-0.133187964335082
"Graphiurus sp. ETH0706",0.656910147228704,-1.15349167280863,-0.310812758277722,-0.0656903002447369,0.773813288415648,0.0992712956867371
"Halmaheramys wallacei bisa rat 374",1.10219340529029,-1.93132176664736,-0.360552995372409,0.236088547978438,0.664961746984617,0.28863106176642
"Hapalomys longicaudatus AMNH 242686",1.04769464934809,-0.962754020844796,-0.308910890243881,0.195829081182329,0.18926737784904,-0.161126197290781
"Heliosciurus gambianus NHM 2022.22",0.898198187535022,-1.14559695053892,-0.286966777547852,0.503489726706561,0.595097040682565,-0.564221226837374
"Hydrochoerus hydrochaeris JAGUARS M5306",-0.87908731939817,-0.991616756388031,0.263044564562844,1.32775530155527,-0.701820837459869,0.981725047127954
"Hylaeamys megacephalus JAGUARS M2983",0.852614735429015,-0.916671877946981,-0.693528326632771,0.561137592008683,0.302189538872705,-0.105741661730652
"Hypogeomys antimena CBUN NMP",0.730683323830538,-1.43288177815439,0.0455720032966937,0.26463681565513,0.43482282449568,-0.0428331891236533
"Idiurus macrotis RMCA 38520",0.0188971614742509,-0.696108812898194,-0.825701641943788,0.46323642234408,0.240959046917719,0.79871782410593
"Jaculus jaculus NHM 95.340",0.693318625498628,-0.993729889640396,0.0752066308815966,-0.0915736687011461,-0.885741251576301,1.20251955353762
"Jaculus jaculus NHM 79.2181",0.566546379231478,-0.717837118052736,-0.104334000552716,0.218350054148298,-1.11852894740824,1.15580363263392
"Kannabateomys amblyonyx NHM 9.11.19.28",0.538161291439756,-0.736055266141623,-1.22081436095328,1.00038478027635,-0.355304963502137,0.773628518880935
"Kerodon rupestris CBUN CSB2022-001",0.495880507933372,-1.02100763888733,-0.0660080082530528,0.846863916872317,-0.461708657544137,0.205979879878832
"Lagostomus maximus NHM 1970.25",0.268549043377763,-1.07913994780632,-0.561508968532076,1.16170785842423,-0.423661427462459,0.63405344199886
"Laonastes aenigmamus UM TK2007-06",0.550307430307152,-0.629364934046088,-0.137623858972508,0.422157068093007,-1.04099265942974,0.835516954048179
"Lemmus lemmus NHM 2022.23",1.65734985836276,-1.20018175338302,-0.850597103669313,-0.54299972151659,1.04709742877618,-0.110668708570025
"Lemmus sibiricus NHM 1976.587",1.35466586455789,-0.918225045852068,-0.702972811245101,-0.227263658512103,0.649298572663168,-0.155502921611787
"Lenothrix canus EBD BOR036",0.901535059714299,-0.79287079965836,-0.435575892897539,0.476367006040513,0.530640604362393,-0.680095977561307
"Leopoldamys sabanus EBD BOR041",0.870085817045606,-0.816905984638136,-0.281494261569407,0.616305296269506,-0.135471968741844,-0.252518898365725
