"","DM","ePT","iPT","SM","T","ZM"
"Abrocoma cinerea NHM 1992.302",0.226793428231422,-1.10798515970585,-0.424910202516867,0.828789173168568,0.157220665710384,0.32009209511234
"Acomys airensis MNHN-ZM-MO 1993-1961",0.731358809506274,-0.79676044867628,-0.0402876456770811,-0.0868183793078664,0.303725637706834,-0.111217973551883
"Alticola stoliczkanus NHM 1975.296",1.23316549774602,-1.12774588661496,-0.554003692634611,-0.0207807942627521,0.59991524401232,-0.130550368246017
"Ammospermophilus leucurus UWBM 37679",0.940551937109641,-0.825933841971632,0.317887457374704,0.0551799055451996,0.256314557650695,-0.744000015708609
"Anomalurus derbianus RMCA 21804",-0.388060339469901,-0.667505242613791,0.294586206367623,0.391318494573325,-0.05796076412188,0.427621645264623
"Anonymomys mindorensis FMNH 222898",0.888095625415475,-1.08941132396191,-0.0364821587958174,0.227016714207984,0.51243405893556,-0.50165291580129
"Apomys banahao CBGP P0049",0.522911031144592,-0.784760431198896,0.00334249464657433,0.303313274002324,0.346052297008096,-0.390858665602691
"Apomys banahao CBGP P0066",0.392244166402893,-0.959916492038066,0.140039881758315,0.251841801215693,0.638778900354376,-0.462988257693211
"Apomys datae FMNH 188274",0.616311102715251,-0.739752276517909,0.0217871479743733,0.242791493478734,0.466121120029235,-0.607258587679686
"Apomys microdon FMNH 209408",0.621099009354923,-1.19590199855854,0.183235854763909,0.279434350575248,0.406775737419768,-0.294642953555308
"Apomys musculus FMNH 193681",0.68117648682086,-0.905862049996702,-0.324154776259857,0.264201076933014,0.428341705448278,-0.143702442945595
"Archboldomys maximus FMNH 193524",0.64194248104557,-0.799259574204209,-0.0286548478260501,-0.0793237993337332,0.785377583358497,-0.520081843040076
"Arvicanthis niloticus MNHN-ZM-MO 1993-2520",0.835503882290347,-0.573959769201557,-0.121662484828178,0.108516483649434,0.346326300847167,-0.594724412757213
"Arvicola amphibius QM858",1.02568379724155,-0.415510903174028,-1.08698902794155,-0.135108226466436,0.865016401676718,-0.253092041336262
"Atlantoxerus getulus NHM 1977.291",0.626871727881309,-0.396359497838625,0.26953221174592,0.368770204150996,0.147721918307989,-1.01653656424759
"Batomys granti FMNH 193696",0.0978447091862749,-0.693860385597396,-0.14470372150665,0.416397996906395,0.453382863342435,-0.129061462331058
"Bullimus luzonicus FMNH 234993",0.962794212124225,-0.861422171678071,-0.490176397913303,0.169649632704516,0.349038185072836,-0.129883460310203
"Callosciurus prevostii MB 2022.2.5",0.72868536933493,-0.694658478658662,0.524148671708987,-0.217354190820052,0.257174400820174,-0.597995772385377
"Cannomys badius CBUN HDMK 18",0.955956400323222,-1.33024845322199,-0.230873621123542,0.0424811428749235,0.703257459678919,-0.140572928531536
"Capromys pilorides CBUN CBS009",0.274390396021076,-0.334222669939841,-0.549615171559135,0.0686960254252742,-0.145551343544886,0.686302763597511
"Cavia porcellus UM 572N (ou 499V?)",-0.0662057291409422,-1.31744182751686,0.313634571835216,0.817224646425775,0.240487174361832,0.0123011640349796
"Chinchilla chinchilla MB 2022.2.3",-0.0611925857098862,-0.10785933555542,-0.130902205578695,0.671625593175658,-1.11500445837799,0.743332992046337
"Chrotomys mindorensis FMNH 222085",0.724959267081304,-0.177644082353009,-0.448287997298493,-0.1010460240725,0.57914737071643,-0.577128534073732
"Coccymys ruemmleri CBUN MW 3700-027",0.890900519578481,-0.780929603853109,-0.477698344267421,0.285817631083138,0.498160177287278,-0.416250379828368
"Coendou prehensilis JAGUARS M5167",-1.09385221065227,-0.700453608773355,-0.368885820135223,0.696448933673742,0.563636370028219,0.903106335858888
"Cricetomys gambianus CBGP CR01",0.452621750000425,-1.19817467743972,-0.474399892328071,0.405184862136267,0.846180785280734,-0.0314128276496368
"Cricetomys gambianus CBGP LG1555",-0.173401807121227,-0.853015108612629,0.0669272827927733,0.63352063466695,0.483417937630672,-0.157448939356538
"Ctenomys talarum NHM 9.12.1.68-70",0.486322410179897,-1.06038105338942,-0.530393345744999,1.00962057333224,-0.173141026562018,0.267972442184299
"Cuniculus paca JAGUARS M5329",-0.134569659177683,-0.917048165338638,-0.0405965929398818,0.63400652509289,-0.253910961013046,0.712118853376358
"Cynomys souslik UM unreg coll. Poitevin",0.999483394896901,-1.50442806400785,0.225260250780696,0.0772704494634626,0.52034978669351,-0.31793581782672
"Dactylomys dactylinus RBM1232",0.348699803844567,-0.534585965556497,-0.39914863030171,0.580312938616932,-0.375984060683033,0.380705914079741
"Dasyprocta leporina JAGUARS M5324",-0.0981470513800273,-0.390808197007559,-0.279254567718998,0.387912275367398,-0.202194552578981,0.582492093318168
"Dendromus mystacalis NHMUK 1975.3181",0.17455935260279,-0.64695267151976,-0.0704947432582713,0.296880486623658,0.349718895790905,-0.103711320239322
"Dicrostonyx groenlandicus NHM 1995.14",1.26814036749845,-0.909632763967451,-0.393791030515166,-0.607282291394514,0.690172891338651,-0.0476071729599693
"Dipodomys sp. CBUN 002",0.95937769117472,-1.0950366680072,0.603320641621514,-0.413230108981294,0.25222843252448,-0.306659988332221
"Dolichotis patagonum THOIRY 01",-0.0144304658911085,-0.121767951584398,0.13547658218329,0.406131047507688,-0.771479761789351,0.36607054957388
"Echiothrix leucura AMNH 225046",0.791325156099759,-0.238806982992743,-0.340651590624367,-0.150548362789467,0.304762787062768,-0.36608100675595
"Eliomys quercinus MC88",0.646793638503045,-0.923930857357983,0.178029621487777,-0.0306935601352113,0.379296176064423,-0.249495018562052
"Ellobius sp. CBUN FV15",1.03935594777303,-1.12890886936759,-0.164082096820305,-0.497660716380798,0.88558886620713,-0.134293131411476
"Euryzygomatomys spinosus NHM 9.11.19.29-31",0.224387926038669,-0.977960454802912,-0.559112488798133,1.05957108806084,-0.0338094681525965,0.286923397654128
