"","DM","ePT","iPT","SM","T","ZM"
"Abrocoma cinerea NHM 1992.302",0.663589583333333,0.4650789474,0.5538,0.98005,0.58784515365,0.5140169312
"Acomys airensis MNHN-ZM-MO 1993-1961",0.345989602866667,0.4087647059,0.2640634921,0.3688545455,0.3257567288,0.2952312852
"Alticola stoliczkanus NHM 1975.296",0.388975464275,0.3978235294,0.3056440678,0.4710263158,0.454899350633333,0.365565656566667
"Ammospermophilus leucurus UWBM 37679",0.50582080945,0.6558367347,0.3093934426,0.6410178571,0.562257409525,0.526853187233333
"Anomalurus derbianus RMCA 21804",0.74590948275,0.6145,0.3461176471,0.72785,0.7084985294,0.749618359225
"Anonymomys mindorensis FMNH 222898",0.453853168533333,0.49605,0.3146153846,0.5686111111,0.4692792857,0.464739665375
"Apomys banahao CBGP P0049",0.39649549125,0.3033809524,0.2041923077,0.3956391753,0.327733180766667,0.379551892533333
"Apomys banahao CBGP P0066",0.48644464485,0.3713703704,0.2239642857,0.4967183099,0.341802371333333,0.4175697799
"Apomys datae FMNH 188274",0.4320030334,0.36995,0.251,0.4811764706,0.388818713466667,0.428151260466667
"Apomys microdon FMNH 209408",0.4103467322,0.3873636364,0.2506144578,0.4884795918,0.409651183266667,0.393636838625
"Apomys musculus FMNH 193681",0.299084912266667,0.3505263158,0.2066111111,0.3085535714,0.308715735733333,0.2706591072
"Archboldomys maximus FMNH 193524",0.367697272733333,0.4132432432,0.2984482759,0.423,0.355407763133333,0.304111368425
"Arvicanthis niloticus MNHN-ZM-MO 1993-2520",0.552177471766667,0.4268679245,0.3354545455,0.6229814815,0.618783814033333,0.596503115475
"Arvicola amphibius QM858",0.230834328933333,0.1255357143,0.1320416667,0.2292380952,0.2487708995,0.177653110066667
"Atlantoxerus getulus NHM 1977.291",0.57579761905,0.4055333333,0.3048666667,0.6152222222,0.55326785715,0.5566986111
"Batomys granti FMNH 193696",0.520737904966667,0.5513513514,0.3685483871,0.6402380952,0.5522817155,0.521784656075
"Bullimus luzonicus FMNH 234993",0.766279334,0.5523478261,0.4993076923,0.8132641509,0.788655851233333,0.662974397275
"Callosciurus prevostii MB 2022.2.5",0.6930712805,0.7203658537,0.3843469388,0.8899166667,0.7841853979,0.587890339966667
"Cannomys badius CBUN HDMK 18",0.6649419105,0.5673043478,0.5496538462,0.89516,0.751559153433333,0.6335407005
"Capromys pilorides CBUN CBS009",0.667775,0.46495,0.44,1.37305,0.6458,0.517055555566667
"Cavia porcellus UM 572N (ou 499V?)",1.11601707315,0.6930294118,0.64992,1.1552,0.82498333335,0.816293838333333
"Chinchilla chinchilla MB 2022.2.3",0.454138624333333,0.3274285714,0.3205,0.3915714286,0.4486315789,0.4857910628
"Chrotomys mindorensis FMNH 222085",0.608979365066667,0.4770909091,0.3996170213,0.6967894737,0.707194056833333,0.5602543464
"Coccymys ruemmleri CBUN MW 3700-027",0.273993230566667,0.3209027778,0.2257464789,0.2901264368,0.282554376066667,0.293712818366667
"Coendou prehensilis JAGUARS M5167",1.0159,0.8800454545,0.59925,0.7388571429,0.7100347594,0.6569814394
"Cricetomys gambianus CBGP CR01",0.69753100775,0.4675555556,0.3739444444,0.7356216216,0.686798274766667,0.727070130233333
"Cricetomys gambianus CBGP LG1555",0.683712223433333,0.6160869565,0.4286190476,0.6358684211,0.84004875,0.815213299833333
"Ctenomys talarum NHM 9.12.1.68-70",0.346785317466667,0.31885,0.414075,0.4247107143,0.3218214286,0.385607189533333
"Cuniculus paca JAGUARS M5329",0.97745,0.6712857143,0.5103870968,0.8235882353,0.8385533784,0.802683626533333
"Cynomys souslik UM unreg coll. Poitevin",0.594258578433333,0.5503488372,0.4232105263,0.6799787234,0.622408496733333,0.515603569633333
"Dactylomys dactylinus RBM1232",0.7313028241,0.5806153846,0.44576,0.7795909091,0.6954519231,0.65076923075
"Dasyprocta leporina JAGUARS M5324",0.894998933466667,0.508625,0.5966923077,1.286275,0.6890263158,0.882395555566667
"Dendromus mystacalis NHMUK 1975.3181",0.192287577166667,0.2222941176,0.1467619048,0.1946296296,0.20209965142,0.194809744833333
"Dicrostonyx groenlandicus NHM 1995.14",0.588386348366667,0.5742391304,0.4231454545,0.6375,0.581633040933333,0.516406395333333
"Dipodomys sp. CBUN 002",0.3704819432,0.3417647059,0.1721162791,0.5307297297,0.3119188651,0.3256250896
"Dolichotis patagonum THOIRY 01",1.107251852,0.6515333333,0.6154,1.314083333,0.90422863245,0.97028097225
"Echiothrix leucura AMNH 225046",0.743793934233333,0.5771940299,0.8824923077,0.7474901961,0.9586956141,0.761790214025
"Eliomys quercinus MC88",0.496255892266667,0.4625744681,0.3406323529,0.5788888889,0.4921892404,0.42404577285
"Ellobius sp. CBUN FV15",0.613559054966667,0.4896829268,0.3022,0.6823333333,0.730072954666667,0.6038841642
"Euryzygomatomys spinosus NHM 9.11.19.29-31",0.6253128205,0.5182857143,0.4642727273,0.598,0.5090952381,0.591197695833333
"Exilisciurus whiteheadi NHM 1895.10.4.40",0.3701344316,0.4702173913,0.25925,0.3795789474,0.4495833333,0.389488048366667
