"","DM","ePT","iPT","SM","T","ZM"
"Abrocoma cinerea NHM 1992.302",0.2977,0.0548,0.1292,0.801,0.2571,0.2652
"Acomys airensis MNHN-ZM-MO 1993-1961",0.0338,0.0085,0.0117,0.0156,0.0204,0.0127
"Alticola stoliczkanus NHM 1975.296",0.1219,0.011,0.015,0.0394,0.0677,0.0271
"Ammospermophilus leucurus UWBM 37679",0.1671,0.0337,0.0499,0.0795,0.093,0.0299
"Anomalurus derbianus RMCA 21804",0.2338,0.1449,0.2136,0.4948,0.3136,0.4821
"Anonymomys mindorensis FMNH 222898",0.1511,0.0214,0.0389,0.0915,0.0999,0.0386
"Apomys banahao CBGP P0049",0.0985,0.0202,0.0299,0.0782,0.0677,0.0398
"Apomys banahao CBGP P0066",0.113,0.0223,0.0404,0.1002,0.1028,0.0409
"Apomys datae FMNH 188274",0.1056,0.0234,0.034,0.0813,0.0821,0.032
"Apomys microdon FMNH 209408",0.051,0.0072,0.0185,0.0397,0.0368,0.0188
"Apomys musculus FMNH 193681",0.0242,0.0055,0.0058,0.0156,0.018,0.0095
"Archboldomys maximus FMNH 193524",0.0413,0.0107,0.0167,0.0225,0.0454,0.0107
"Arvicanthis niloticus MNHN-ZM-MO 1993-2520",0.3085,0.0544,0.0672,0.1571,0.1873,0.0777
"Arvicola amphibius QM858",0.3154,0.0374,0.0201,0.0904,0.241,0.0663
"Atlantoxerus getulus NHM 1977.291",0.232,0.0637,0.0932,0.2077,0.1403,0.0471
"Batomys granti FMNH 193696",0.07839,0.0368,0.0426,0.1297,0.118,0.0652
"Bullimus luzonicus FMNH 234993",0.6593,0.0754,0.0988,0.3113,0.3849,0.1965
"Callosciurus prevostii MB 2022.2.5",0.3069,0.0672,0.1213,0.1338,0.1868,0.0644
"Cannomys badius CBUN HDMK 18",0.9752,0.0856,0.249,0.533,0.8295,0.3309
"Capromys pilorides CBUN CBS009",2.8266,1.0454,0.7976,4.619,1.75353,3.1974
"Cavia porcellus UM 572N (ou 499V?)",0.6353,0.1041,0.4988,1.467,0.6242,0.4766
"Chinchilla chinchilla MB 2022.2.3",0.303,0.214,0.2047,0.558,0.1071,0.7319
"Chrotomys mindorensis FMNH 222085",0.1573,0.0482,0.0308,0.076,0.1525,0.0377
"Coccymys ruemmleri CBUN MW 3700-027",0.0808,0.0169,0.0161,0.0444,0.051,0.0225
"Coendou prehensilis JAGUARS M5167",0.3225,0.4225,0.4008,1.434,1.289,1.5938
"Cricetomys gambianus CBGP CR01",0.3781,0.0442,0.0729,0.3456,0.4865,0.2395
"Cricetomys gambianus CBGP LG1555",0.4881,0.1836,0.3205,0.8379,0.9324,0.556
"Ctenomys talarum NHM 9.12.1.68-70",0.1444,0.0286,0.0631,0.3019,0.0701,0.1378
"Cuniculus paca JAGUARS M5329",0.8938,0.2848,0.5202,1.648,0.7022,1.7961
"Cynomys souslik UM unreg coll. Poitevin",0.4664,0.0345,0.1496,0.2073,0.2941,0.1128
"Dactylomys dactylinus RBM1232",0.7112,0.2324,0.2043,0.9515,0.3271,0.6505
"Dasyprocta leporina JAGUARS M5324",1.5339,0.6425,0.8427,3.54,1.1216,3.076
"Dendromus mystacalis NHMUK 1975.3181",0.0081,0.004,0.0047,0.009,0.0099,0.0061
"Dicrostonyx groenlandicus NHM 1995.14",0.2257,0.0239,0.0295,0.0359,0.102,0.049
"Dipodomys sp. CBUN 002",0.0986,0.0113,0.0311,0.0347,0.0385,0.0231
"Dolichotis patagonum THOIRY 01",2.8415,1.433,1.7506,4.9,1.0395,3.127
"Echiothrix leucura AMNH 225046",0.2798,0.0743,0.1026,0.1051,0.2112,0.093
"Eliomys quercinus MC88",0.0819,0.0157,0.0348,0.048,0.0631,0.0294
"Ellobius sp. CBUN FV15",0.226,0.0184,0.0298,0.0482,0.2016,0.0599
"Euryzygomatomys spinosus NHM 9.11.19.29-31",0.2214,0.0539,0.0734,0.4771,0.1361,0.2378
"Exilisciurus whiteheadi NHM 1895.10.4.40",0.0907,0.0167,0.0139,0.0216,0.009,0.0256
"Felovia vae NHM 1991.99",0.1386,0.0325,0.1687,0.3165,0.0528,0.1595
"Funambulus palmarum NHM 1971.792",0.1133,0.0291,0.0327,0.0616,0.0902,0.0324
"Funisciurus anerythrus RMCA 1988.011.M.004",0.2291,0.0346,0.0706,0.1362,0.2067,0.0738
"Galea musteloides CBUN CSB 005",0.2197,0.0562,0.1845,0.5145,0.1257,0.1665
"Grammomys poensis rutilans MNHN-ZM-MO 1996-2106",0.1218,0.0172,0.0387,0.0605,0.0975,0.0464
"Graphiurus sp. ETH0706",0.0379,0.0062,0.0144,0.0184,0.0426,0.0217
"Halmaheramys wallacei bisa rat 374",0.3614,0.0174,0.0837,0.152,0.2334,0.1602
"Hapalomys longicaudatus AMNH 242686",0.3584,0.048,0.0923,0.1529,0.1519,0.107
"Heliosciurus gambianus NHM 2022.22",0.4161,0.0539,0.1272,0.2804,0.3073,0.0964
