"","DM","ePT","iPT","SM","T","ZM"
"Abrocoma cinerea NHM 1992.302",0.422313522379975,0.11115986543051,0.220091716238408,0.771042678800562,0.393930784377663,0.463611375786417
"Acomys airensis MNHN-ZM-MO 1993-1961",0.0904260232006116,0.0196173197166637,0.0417995526805979,0.0398991453721301,0.0589623391992154,0.0389374031870836
"Alticola stoliczkanus NHM 1975.296",0.276520377021809,0.0260853311170841,0.0462987667258969,0.0789123878516741,0.146794589729071,0.0707087019827994
"Ammospermophilus leucurus UWBM 37679",0.283598104055811,0.0484761696746547,0.152154070566307,0.11700142073936,0.143068098458213,0.0526152581481805
"Anomalurus derbianus RMCA 21804",0.294172460095956,0.222454211891859,0.58219924829214,0.641330566504347,0.409225262984521,0.665040658279721
"Anonymomys mindorensis FMNH 222898",0.294037559966688,0.0406988796397198,0.116644369614045,0.151809827546265,0.201955211523937,0.0732559133488435
"Apomys banahao CBGP P0049",0.232258541257409,0.0628141075529991,0.13814206562205,0.186466835216003,0.19460900031501,0.093137924756943
"Apomys banahao CBGP P0066",0.218991702323698,0.0566489346643272,0.170175380543586,0.190305652122675,0.280218196838918,0.0931118460329205
"Apomys datae FMNH 188274",0.231578268922648,0.0596715007382436,0.127790723896865,0.159397056784404,0.199283399236327,0.0681252703004443
"Apomys microdon FMNH 209408",0.107899962422119,0.0175350812309461,0.0696401570040595,0.0766722516506149,0.0870847038139089,0.043183676329029
"Apomys musculus FMNH 193681",0.072373283258073,0.0148025383869995,0.0264830777206326,0.0476966805644158,0.0562048152673835,0.031720345400422
"Archboldomys maximus FMNH 193524",0.103223421663562,0.0244271135432844,0.0527887686186901,0.0501806503412284,0.1191437662553,0.0322936771538611
"Arvicanthis niloticus MNHN-ZM-MO 1993-2520",0.492177547911884,0.120226308353091,0.188986040778196,0.237900405663682,0.30176903490383,0.117755592455923
"Arvicola amphibius QM858",1.18768519984264,0.281059609726732,0.14360818539216,0.372028125576244,1.01140333489487,0.330625277831079
"Atlantoxerus getulus NHM 1977.291",0.41227849759312,0.148185943516968,0.288403219852198,0.318492065396683,0.255328072339724,0.0797016903030832
"Batomys granti FMNH 193696",0.138978194057557,0.0629670736163457,0.109045869286028,0.191114042546648,0.198314706903813,0.110765003554275
"Bullimus luzonicus FMNH 234993",0.798178344711381,0.128781307919586,0.186673565433094,0.361111755581527,0.432064997905755,0.267643103502902
"Callosciurus prevostii MB 2022.2.5",0.365309249324976,0.0880055961696041,0.297736109519785,0.141840713650654,0.227974386965057,0.0969371772596559
"Cannomys badius CBUN HDMK 18",1.40035433390342,0.142348136929142,0.427370174886185,0.561721020464772,1.08765756364809,0.467758085229845
"Capromys pilorides CBUN CBS009",3.89841145602815,2.12114510182673,1.71012006861063,3.17362599308934,2.56158808440022,5.88544008531225
"Cavia porcellus UM 572N (ou 499V?)",0.495219949001706,0.141707618028415,0.724036862592087,1.19802827575393,0.672966067626039,0.535664964000583
"Chinchilla chinchilla MB 2022.2.3",0.646038569451423,0.616582699517071,0.602537309039531,1.34436543601185,0.225213160644623,1.44430683254103
"Chrotomys mindorensis FMNH 222085",0.235036702665503,0.0953103428421783,0.0727111264656857,0.102897813347876,0.20314698623234,0.063921379465461
"Coccymys ruemmleri CBUN MW 3700-027",0.26440761585653,0.0496829486354639,0.0672820206068916,0.144374269766064,0.178529092221024,0.0715460295468025
"Coendou prehensilis JAGUARS M5167",0.305608128916812,0.452913998501173,0.630977400996529,1.83097666670638,1.60325663658501,2.25129796748564
"Cricetomys gambianus CBGP CR01",0.464745251954223,0.089183226908805,0.18391391003551,0.443213910896086,0.68886715601963,0.286418730447583
"Cricetomys gambianus CBGP LG1555",0.554724189194109,0.281141396262966,0.70542476415609,1.2431372150008,1.06986823880271,0.563644594673041
"Ctenomys talarum NHM 9.12.1.68-70",0.397373156288008,0.0846201413688935,0.143762124945463,0.67060074343577,0.205493076577866,0.319426056346298
"Cuniculus paca JAGUARS M5329",0.875291703726882,0.400245736739968,0.961534333563763,1.88773578166249,0.776825625249121,2.0411031878786
"Cynomys souslik UM unreg coll. Poitevin",0.723286079006784,0.0591391634020895,0.333479596326615,0.287606113258939,0.447945341309897,0.193714536574776
"Dactylomys dactylinus RBM1232",0.913372338543475,0.377608463079068,0.432375827926695,1.15142634291393,0.442508534695293,0.943078690822594
"Dasyprocta leporina JAGUARS M5324",1.59687412737375,1.19170720171383,1.33234497871171,2.59635197878326,1.43907500097514,3.15404953114689
"Dendromus mystacalis NHMUK 1975.3181",0.0386015100826995,0.0169756399602559,0.030211942739455,0.0436242213232668,0.0459912398452698,0.029224889436738
"Dicrostonyx groenlandicus NHM 1995.14",0.346572505635344,0.0392644259467567,0.0657697923569336,0.0531261561228265,0.194440182749522,0.0929762893809618
"Dipodomys sp. CBUN 002",0.2433695207716,0.0311921540593773,0.170463960730077,0.0616808277823592,0.119992794034532,0.0686172026240915
"Dolichotis patagonum THOIRY 01",2.31004139944789,2.07493112532794,2.6836357392952,3.51776892176287,1.08352124582248,3.379630762545
"Echiothrix leucura AMNH 225046",0.340205884856008,0.12143982091219,0.109680789266543,0.132645142255434,0.209136805375202,0.106926834962948
"Eliomys quercinus MC88",0.15401715972224,0.0320193218089915,0.0963801247877453,0.0782240249142991,0.117868142182688,0.0628515354990976
"Ellobius sp. CBUN FV15",0.309929161204957,0.0354484292100456,0.0930284829489405,0.0666414725678001,0.265755490541079,0.0958413940578139
"Euryzygomatomys spinosus NHM 9.11.19.29-31",0.326502814014716,0.0981100871600342,0.149147858461485,0.752666119770304,0.252204728714972,0.347572765088559
"Exilisciurus whiteheadi NHM 1895.10.4.40",0.205543254480049,0.0335051771215338,0.0505813213005586,0.0536841113822163,0.0188854110213873,0.0631111736542533
"Felovia vae NHM 1991.99",0.237656971890746,0.0752572898812997,0.446802199315627,0.475913779191761,0.121773944537544,0.313137641312839
"Funambulus palmarum NHM 1971.792",0.223604805041364,0.0424814655957413,0.102986228434902,0.123645122440787,0.157638159828579,0.0595225400042395
"Funisciurus anerythrus RMCA 1988.011.M.004",0.291371175989001,0.0506039738437555,0.155916587422175,0.167332181772113,0.219406163466029,0.0904659437548265
"Galea musteloides CBUN CSB 005",0.293149468566222,0.164934261054113,0.440410709003844,0.786673190422311,0.234641595118258,0.327312765496015
"Grammomys poensis rutilans MNHN-ZM-MO 1996-2106",0.226494976714226,0.0340544198738349,0.112497251072767,0.0974300850008018,0.181787425058331,0.0875909890765121
"Graphiurus sp. ETH0706",0.113735420736266,0.0248324835773805,0.0609094409520489,0.0477171030491078,0.123678375639636,0.0693506461551818
"Halmaheramys wallacei bisa rat 374",0.530993617662471,0.0381025480402577,0.201813696374461,0.183129518244455,0.343361060669387,0.246925756603339
"Hapalomys longicaudatus AMNH 242686",0.49709461952209,0.0630374658195302,0.184125464235932,0.194098371373149,0.258233181124426,0.15606900637575
"Heliosciurus gambianus NHM 2022.22",0.646970749290148,0.0824894041287193,0.330495743607148,0.379444047776842,0.5134077819727,0.175818834150403
"Hydrochoerus hydrochaeris JAGUARS M5306",3.84253850390129,3.59161551039375,5.08216510458842,15.311356711827,4.34536402746427,14.4969658949041
"Hylaeamys megacephalus JAGUARS M2983",0.104548975775935,0.0359715310927304,0.0346715448931454,0.0745644500517415,0.0718005060008318,0.0462883615190552
"Hypogeomys antimena CBUN NMP",0.828859032983547,0.171839963046652,1.18823822032311,0.458184954156831,0.689357663857859,0.386669924466449
"Idiurus macrotis RMCA 38520",0.0745778571672632,0.0518557149561425,0.101941747602507,0.131993118972238,0.117904505495958,0.216606852520853
"Jaculus jaculus NHM 95.340",0.143299030867792,0.0321213892149795,0.106540284821693,0.0680417757823148,0.0369302381638556,0.22400733355132
"Jaculus jaculus NHM 79.2181",0.26066575717475,0.0878653348131705,0.142056625059725,0.194142929991987,0.0482580802713506,0.498337687791381
"Kannabateomys amblyonyx NHM 9.11.19.28",0.642910944763585,0.209992263926548,0.205554128096333,0.921308530125237,0.274309745362332,0.933355514255833
"Kerodon rupestris CBUN CSB2022-001",1.13599983703508,0.396490155809645,0.728589113092418,1.49893910711533,0.453832679829219,0.871999689059677
"Lagostomus maximus NHM 1970.25",2.96566354573805,1.34852160484107,2.14199666991491,7.0983916968787,1.38087969196025,4.24966239368833
"Laonastes aenigmamus UM TK2007-06",0.45730601529625,0.255452149158653,0.283480659869409,0.395560180953573,0.15839815886217,0.637786309696996
"Lemmus lemmus NHM 2022.23",0.613643429322258,0.0378840911524176,0.0609600659871733,0.0889454183077866,0.447753571316727,0.136318791365433
"Lemmus sibiricus NHM 1976.587",0.420125900863753,0.0531458144770127,0.0793915797144049,0.0889374746650479,0.227262791794744,0.100041061779664
"Lenothrix canus EBD BOR036",0.632300626431229,0.113066308187461,0.275776659996989,0.3555163119249,0.476396866847819,0.143151707434981
"Leopoldamys sabanus EBD BOR041",1.4140926313121,0.29042209490715,0.657559014578185,0.950336236953358,0.539044522282168,0.403643934346725
"Leptomys sp. CBUN FR 2200-033",0.155836888161271,0.0384080508345374,0.090106338897605,0.123329315566121,0.165783426664718,0.0671147403531753
"Lophiomys imhausi NHM unreg",0.701700415893322,0.209056443633995,0.968353388633064,0.999021179031437,1.45051748937447,0.439396540409166
"Lorentzimys nouhuysi CBUN MW-2700-131",0.128669204830014,0.0284574133017152,0.0399705671232236,0.0528719222555186,0.0682762727816001,0.0407128123762283
"Macruromys sp. CBUN FR 1200-029",0.551450336507888,0.178375849483156,0.22246069288923,0.321884413725624,0.406801405590109,0.170044240754988
"Makalata didelphoides UM V36-40",0.587643039727672,0.118577555309869,0.127333729506049,0.2950837290379,0.229742527994138,0.45098291772185
"Malacothrix typica NHM 1898.2.3.5",0.0879556049087707,0.0263197799133396,0.0746056869967213,0.0933324709559796,0.0435880468050547,0.0767248127544351
"Massoutiera mzabi NHM 19.7.7.2880",0.354863780587037,0.11885339478913,0.545263686287923,0.460841218006478,0.108612315678953,0.439683327054307
"Mastacomys fuscus MV C9999",0.584143641225067,0.105326067790266,0.262054907385673,0.259804521207064,0.212279747973863,0.262644229554104
"Mastomys natalensis MNHN-ZM-MO 1993-168",0.209456255534162,0.041977956405161,0.0620038158578962,0.0992304791728052,0.160618762023743,0.0717469587979583
"Pseudohydromys ellermani CBUN FR 2200-043",0.104523524762899,0.0209215387241165,0.0337231434452644,0.0356052034557338,0.0790175320182746,0.0283035666847439
"Melasmothrix naso AMNH 225097",0.0734116395903607,0.0204078556573071,0.0333991673557543,0.034075607801552,0.0581798365858637,0.0250195973287426
"Mesocricetus auratus NHM 1992.42",0.287744457119453,0.0650456635978528,0.146459928997268,0.189611797883365,0.428305911051237,0.123239227025421
"Mesomys hispidus JAGUARS M1281",0.323314081959244,0.0462639149848703,0.0733501434630814,0.206862996773293,0.121702223413103,0.148497226367388
"Microcavia australis NHM 1992.483",0.218084323873182,0.0827917905753442,0.349060823142392,0.386978261058697,0.0775153814491249,0.383472087328585
"Microtus sp. MB 2018-34-15",0.151382001080967,0.0199728029916709,0.0274374201307976,0.0340273599682377,0.0633802879041062,0.0405612617031173
"Monticolomys koopmani FMNH 161703",0.111700549477762,0.0198666251436303,0.0461825895855416,0.0511124373615639,0.0625237194388767,0.041716639406664
"Mus crociduroides LSUMZ 39557",0.0709644592501935,0.0174248858335375,0.0431105819029635,0.0356463433662182,0.0566602192752178,0.0279603582433028
"Mus crociduroides LSUMZ 39556 (HH1430)",0.0743105000401555,0.0234114121949652,0.0432890079390618,0.0403167011767933,0.0645008041209043,0.0321252858598306
"Muscardinus avellanarius NHM 1977.856",0.152652142092038,0.0196745458407896,0.0387916210098619,0.0517350694114856,0.0602050771300309,0.0455729152432198
"Myocastor coypus QM 1150",4.11330777238304,2.49796953509448,2.53779991187086,6.7876393874937,3.47552528122638,4.44058827348931
"Myodes sp. NHM 1856-7-9-9-15b",0.483490262960141,0.0347332663238669,0.0589222984756571,0.0425902179917964,0.249581656255237,0.122008056342764
"Myodes sp. NHM 1856-7-9-9-15a",0.827708250808892,0.0313549786490334,0.0726294794815299,0.0735372698436238,0.324487369656051,0.141114700273294
"Myosciurus pumilio NHM 1948.974",0.163879602878471,0.0175656788325681,0.0317000344214183,0.0223105027008194,0.0204134765803433,0.0332099213058708
"Nannosciurus exilis tetectus NHM 1892.6.1.10",0.147942794939807,0.038944597824298,0.0205666787762462,0.0348718887791517,0.019091076161783,0.0536724346445293
"Nannosciurus melanotis NHM 2022.21",0.123186961688565,0.0145394308330601,0.0346852308759678,0.0275342648656464,0.0165515297026879,0.0409017993873428
"Nannospalax leucodon NHMUK 1986.1781",0.380288580013076,0.078737310511599,0.0816945287135665,0.145467269252697,0.673965557226255,0.268096171194031
"Neacomys paracou JAGUARS M1674",0.0511949470190445,0.0118008341044106,0.0323799244398532,0.0356012857794515,0.0427462514576883,0.0231569911437829
"Nectomys rattus JAGUARS V3614",0.444625847078351,0.0651198153443792,0.32254725153782,0.342990346992652,0.413516166414164,0.145374223282257
"Neotoma lepida UWBM 37681",0.28445553809698,0.0720639354025097,0.10478088284333,0.183448265811002,0.194757320435909,0.13377847012264
"Nesokia indica NHM 1909.7.1.82.84",0.830485061615629,0.130060516192407,0.233922660012944,0.423877819750398,0.522136401548179,0.27171296572231
"Nesomys rufus FMNH 173271",0.359316056722874,0.0790821983607491,0.145267689580735,0.306945261905226,0.185915241104465,0.216384320146693
"Nothocricetulus migratorius NHM 1880.4.9.11",0.112586093773002,0.028508621277549,0.0623204678068179,0.0585334476843911,0.116440486339495,0.0637507630773314
"Notomys alexis MV 31400",0.205627684270725,0.024519909652964,0.0625581690393151,0.0945052704541377,0.0563533722828187,0.0683623112271236
"Octodon degus UM 506V",0.146530591161792,0.0515302255156331,0.0563871602391067,0.303713122775523,0.114234328242121,0.176751403804247
"Oecomys auyantepui JAGUARS M2029",0.135193162505792,0.0266029833948041,0.0490986883636109,0.074799518533384,0.121579897836878,0.0531535644285816
"Oecomys rutilus UM V3625",0.0832028296412468,0.0150111858723668,0.0401332080860433,0.0468184448226967,0.088864752739964,0.0357908322334346
"Oligoryzomys delicatus JAGUARS M3252",0.0696528495493411,0.030963772386308,0.0174837910686967,0.0589917768974982,0.0451071541836737,0.0311816090521806
"Ondatra zibethicus UM 486N",1.44141517470871,0.105308946354593,0.279224741364087,0.309722432688994,1.2446223631331,0.496563709718109
"Onychomys torridus UWBM 37628",0.0926842126596186,0.017548099265731,0.0500377589048741,0.0629486251871856,0.0930769425636801,0.0406671662361298
"Otomys tropicalis CBUN KE211",0.626297112884398,0.0853646414977402,0.206424365025873,0.38479284219437,0.248249769079252,0.141201448827168
"Palawanomys furvus FMNH 195411",0.220853358168599,0.0340798787001788,0.0843413806866311,0.128136677223865,0.149823412700576,0.0956566600531919
"Paraleptomys whilelmina AMNH 152744",0.0793252253199329,0.023898534726599,0.0419266433287904,0.0609912304881033,0.0923435822401044,0.0357279011938884
"Pectinator spekei NHM 1905.11.4.22",0.232211290773682,0.0632006457343127,0.334877348842815,0.194567063728236,0.149878005074607,0.316481216522406
"Pedetes capensis CESKE CBS 1",2.38738267582074,0.485742683501126,1.3334819548879,0.539548721509704,0.179043410986638,3.98122107220082
"Petinomys sp. NHM 1903.11.2.5",0.116914988069042,0.0343185444117903,0.0861702635328444,0.0625570602568912,0.129558139275702,0.0530538182439724
"Petromus typicus NHM 1928.9.11.502",0.377759327032563,0.205838922965349,0.427081959375415,0.705814867414387,0.360408865624954,0.351087857785135
"Petromyscus sp. CBUN ANG0154",0.157831044845058,0.0195083781522425,0.0401000740526301,0.0592023105961783,0.0999078012049975,0.052144224051511
"Petromyscus sp. CBUN ANG0162",0.110489883583507,0.0214672673580707,0.0374033746227404,0.0600274669220283,0.0538659737901866,0.0361690472600943
"Phodopus sp. CBUN -",0.0579913614511241,0.0119104335397808,0.0460037441998561,0.0519991738449015,0.0722841513240953,0.0385709782109757
"Pogonomelomys sp. CBUN FR2200-039",0.213365487171189,0.0471230622544578,0.116716285169091,0.085238065095159,0.20092310578899,0.0728159988376771
"Proechimys guyannensis M1199",0.198355079554746,0.0709950746993794,0.0696913877093737,0.109259186100198,0.0461680106423057,0.148869797790456
"Pseudohydromys murinus CBUN MW 2700-106",0.0416423412081409,0.0153981973860351,0.0236656363882206,0.0245203513839054,0.0465336711185414,0.0144736746131374
"Pseudomys australis MV C4544",0.36040071118979,0.0526260318805959,0.128148637733188,0.123166951838999,0.0800608880273895,0.0847883387106745
"Rattus baluensis EBD BOR210",0.339261674388186,0.0697118384041759,0.118456586759086,0.156029252887243,0.380133098149823,0.135410030662695
"Rattus norvegicus UM Paul Gervais",0.645045060300522,0.110463955162178,0.323729000455977,0.380102482119316,0.673335481376811,0.177014476477243
"Ratufa sp. NHM 2022.24",1.70175764724241,0.276190290030558,0.994344777953286,1.50298294086625,1.18051803760352,0.573834737845787
"Reithrodontomys megalotis UWBM 74514",0.0790930834975685,0.0239119325191639,0.0418547690763802,0.0462527313035296,0.0596183094017761,0.0345855566560144
"Rhinosciurus robinsoni NHM 1915.12.28.6",0.404566729391788,0.0747727701434731,0.168351682777552,0.183799865329267,0.362299045143778,0.155970757787025
"Saccostomus campestris UM TDR106",0.307603418554615,0.0676434415279145,0.153032355156215,0.210855450728713,0.180347225896946,0.127839121297113
"Salpingotulus michaelis NHM 65.4168",0.0558204426617501,0.00568702284936704,0.0057576494478983,0.0216099817038454,0.00371470291206032,0.0455517851325318
"Sciurillus pusillus NHM 1932.8.4.16",0.290466798759573,0.0271232619392178,0.0858871763610631,0.102109755398179,0.0698104087805222,0.149638750636903
"Sciurus aestuans MNHN-ZM-MO 1902-46A",0.746100961823031,0.0871272513517552,0.295173461028711,0.218681545327738,0.40725213718384,0.193516799793868
"Sciurus vulgaris MB 2022.2.12",0.850504680850611,0.110718446368735,0.530622925091337,0.518794689836018,0.400250863462614,0.207668394070008
"Sciurus vulgaris MB 2023.2.14",0.868308879958177,0.718215870470205,0.276730553125928,0.37899145564481,0.439165678435075,0.411649351969821
"Sciurus vulgaris MB 2022.2.15",0.438895347205304,0.0687107377044667,0.318256025564835,0.136835395406821,0.227038019291184,0.457838231857681
"Sicista betulina CBUN unregistered",0.0253043326731306,0.0138215256956076,0.0186561519921745,0.0235913868125449,0.0292594906448192,0.024559896525695
"Spalax sp. CBUN ISR007",0.714883583338341,0.173082864150866,0.356183454212866,0.256665369176444,1.3271737077655,0.452419757906544
"Urocitellus richardsonii NHM 1893.1.5.1",0.721334499138416,0.097412614083289,0.564718618656866,0.455080829171042,0.407779377368347,0.187127658823814
"Steatomys caurinus RMCA 1993.012.M0353",0.0627495294513796,0.0201037387728659,0.04376324086691,0.0572316434917763,0.0699948653800796,0.0359734738303402
"Steatomys krebsi CBUN RS0977",0.0716278919806681,0.0166245542777529,0.0519093617504783,0.065086872803731,0.0511026328761935,0.0313053199166426
"Steatomys parvus CBUN RS0713",0.0968923825679905,0.0251486787334128,0.0826651380193048,0.086654552502968,0.103170198727999,0.0575906408813542
"Aethomys hindei CBUN ETH1371",0.320310103049365,0.0710860366753786,0.165515098504842,0.179094300645891,0.215231708338189,0.141281776507187
"Stenomys sp. MV C2104",0.20691153159171,0.0185562742807659,0.0642895478751462,0.0800757112447168,0.106161889469101,0.0811774558612536
"Stochomys longicaudatus MNHN-ZM-MO 2000-288",0.365678894662589,0.0713897211031826,0.186931888384456,0.147860488501945,0.239386660183995,0.0945887890720021
"Sundamys infraluteus EBD BORN272",1.38580240824751,0.180034457566716,0.665574699971651,0.674025303029475,1.00278587527126,0.340106599793328
"Sundamys muelleri EBD BORN424",1.20906250195182,0.170009714831133,0.645029834059549,0.694357941056971,0.925620438166988,0.369075051736689
"Sundasciurus philippinensis FMNH 208786",0.286055320013741,0.079540825157989,0.209184658689081,0.303749992661425,0.388252116195848,0.160477263616663
"Tamias minimus UWBM 74537",0.113084625029383,0.03111439683592,0.0563062356181782,0.0559024554852146,0.0565307600003325,0.0429729525018273
"Tamiops maritimus NHM 2022.5.4",0.309081252682433,0.0393141436421133,0.134475849588565,0.119682405178646,0.23711830658754,0.10283294726985
"Tarsomys apoensis FMNH 147968",0.204022203005859,0.0399951151004457,0.092374213836478,0.0982709871921361,0.186795033571403,0.0698283503962012
"Tateomys rhinogradoides AMNH 223968",0.0831437473955312,0.0268858117892363,0.0448270110703767,0.0327683942262191,0.0737234145708619,0.0357390915424428
"Thomasomys sp. MUSM 40832",0.0636854488179941,0.0162252212646502,0.0644520117604196,0.0450205508760949,0.0601481549736612,0.0310418501715146
"Thrichomys laurentius NHM 3.10.1.118-221",0.282588580048246,0.136095159979021,0.183078670701094,0.517402375923362,0.182034916333985,0.435631478541421
