"clade","family","subfamily","species","specimen"
"CTENO","Abrocomidae","","Abrocoma cinerea","NHM 1992.302"
"CTENO","Abrocomidae","","Abrocoma cinerea","NHM 1992.302"
"CTENO","Abrocomidae","","Abrocoma cinerea","NHM 1992.302"
"CTENO","Abrocomidae","","Abrocoma cinerea","NHM 1992.302"
"CTENO","Abrocomidae","","Abrocoma cinerea","NHM 1992.302"
"CTENO","Abrocomidae","","Abrocoma cinerea","NHM 1992.302"
"CTENO","Abrocomidae","","Abrocoma cinerea","NHM 1992.302"
"CTENO","Abrocomidae","","Abrocoma cinerea","NHM 1992.302"
"CTENO","Abrocomidae","","Abrocoma cinerea","NHM 1992.302"
"CTENO","Abrocomidae","","Abrocoma cinerea","NHM 1992.302"
"CTENO","Abrocomidae","","Abrocoma cinerea","NHM 1992.302"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Muridae","Deomyinae","Acomys airensis","MNHN-ZM-MO 1993-1961"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"MOUS","Cricetidae","Arvicolinae","Alticola stoliczkanus","NHM 1975.296"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"SQUIR","Sciuridae","Xerinae","Ammospermophilus leucurus","UWBM 37679"
"MOUS","Anomaluridae","Anomalurinae","Anomalurus derbianus","RMCA 21804"
"MOUS","Anomaluridae","Anomalurinae","Anomalurus derbianus","RMCA 21804"
"MOUS","Anomaluridae","Anomalurinae","Anomalurus derbianus","RMCA 21804"
"MOUS","Anomaluridae","Anomalurinae","Anomalurus derbianus","RMCA 21804"
"MOUS","Anomaluridae","Anomalurinae","Anomalurus derbianus","RMCA 21804"
"MOUS","Anomaluridae","Anomalurinae","Anomalurus derbianus","RMCA 21804"
"MOUS","Anomaluridae","Anomalurinae","Anomalurus derbianus","RMCA 21804"
"MOUS","Anomaluridae","Anomalurinae","Anomalurus derbianus","RMCA 21804"
"MOUS","Anomaluridae","Anomalurinae","Anomalurus derbianus","RMCA 21804"
"MOUS","Anomaluridae","Anomalurinae","Anomalurus derbianus","RMCA 21804"
"MOUS","Anomaluridae","Anomalurinae","Anomalurus derbianus","RMCA 21804"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Anonymomys mindorensis","FMNH 222898"
"MOUS","Muridae","Murinae","Apomys banahao","CBGP P0049"
"MOUS","Muridae","Murinae","Apomys banahao","CBGP P0049"
"MOUS","Muridae","Murinae","Apomys banahao","CBGP P0049"
"MOUS","Muridae","Murinae","Apomys banahao","CBGP P0049"
"MOUS","Muridae","Murinae","Apomys banahao","CBGP P0049"
"MOUS","Muridae","Murinae","Apomys banahao","CBGP P0049"
