"","mass","length","pcsa","lsr_mass","lsr_length","lsr_pcsa"
"Abrocoma cinerea NHM 1992.302",0.1936,0.7241363636,0.252219773256478,-0.130363887320209,0.174480054314249,-0.288653730450393
"Acomys airensis MNHN-ZM-MO 1993-1961",0.006,0.3646956522,0.0155208248969922,-0.945661133498472,0.0957214563975841,-1.0309906198074
"Alticola stoliczkanus NHM 1975.296",0.0179,0.4187096774,0.0403305520848948,-0.631454659569221,0.0624474392602555,-0.692009718804179
"Ammospermophilus leucurus UWBM 37679",0.0177,0.6196315789,0.0269484541720589,-1.2684897389081,0.177683889097554,-1.41308023564765
"Anomalurus derbianus RMCA 21804",0.1094,0.74125,0.139234464984568,-0.95916219265492,0.165838098316,-1.13606722325839
"Anonymomys mindorensis FMNH 222898",0.0216,0.5322857143,0.0382827454187155,-1.01332134803283,0.158568142014196,-1.15061260533675
"Apomys banahao CBGP P0049",0.013,0.2665555556,0.0460097367537149,-1.31035403799542,-0.20248563797296,-1.09608707935888
"Apomys banahao CBGP P0066",0.0226,0.33312,0.0640032262157214,-0.962364741532777,-0.123583388141465,-0.837856182053122
"Apomys datae FMNH 188274",0.0214,0.4659375,0.0433291573339408,-0.871704886982836,0.193038630913878,-1.05978102044126
"Apomys microdon FMNH 209408",0.0101,0.48075,0.0198196607109567,-0.861528458408544,0.228294954770005,-1.07343110440681
"Apomys musculus FMNH 193681",0.006,0.3366785714,0.0168124075582036,-0.631222716390544,0.159765656654808,-0.778543569745132
"Archboldomys maximus FMNH 193524",0.0091,0.403375,0.0212826914419023,-0.826023272574378,0.121879165234297,-0.937059166347151
"Arvicanthis niloticus MNHN-ZM-MO 1993-2520",0.0529,0.6455813953,0.0773034364693354,-0.79463143727269,0.23028665880372,-1.01559722797285
"Arvicola amphibius QM858",0.043,0.15468,0.262257807963855,-0.665377099655614,-0.173397280978644,-0.484749664456689
"Atlantoxerus getulus NHM 1977.291",0.057,0.8883333333,0.0605331162187746,-0.668252127990254,0.599233108906481,-1.2916367673402
"Batomys granti FMNH 193696",0.0325,0.6894166667,0.0444729273883836,-0.774162685892893,0.284121746126823,-1.0415917036108
"Bullimus luzonicus FMNH 234993",0.0919,0.6715,0.129111114233131,-0.87621340646062,0.00333574246263146,-0.85886446571225
"Callosciurus prevostii MB 2022.2.5",0.0536,0.9122592593,0.0554294595756142,-0.855777653873907,0.331798987792901,-1.15694767024036
"Cannomys badius CBUN HDMK 18",0.173,0.8602,0.189732093896549,-0.788531989919451,0.253771427020381,-1.04291113389582
"Capromys pilorides CBUN CBS009",1.0413,0.5007,1.96197022282013,-0.644775602946757,-0.230007196769635,-0.412229571094505
"Cavia porcellus UM 572N (ou 499V?)",0.3168,0.7954761905,0.375709453152139,-0.442692288450328,-0.0723273325206209,-0.34239162073574
"Chinchilla chinchilla MB 2022.2.3",0.1991,0.47875,0.392334597763437,-0.372029479869959,0.180894660957644,-0.559936751309919
"Chinchilla lanigera NHM R320",0.1032,0.7621363636,0.127744187544285,NA,NA,NA
"Chrotomys mindorensis FMNH 222085",0.0458,0.60346,0.0715996870874811,-0.400480334194541,0.0683168615933825,-0.463691712752643
"Coccymys ruemmleri CBUN MW 3700-027",0.0158,0.4151666667,0.0359028351091812,-0.712771771770308,0.395272627508878,-1.10577512750607
"Coendou prehensilis JAGUARS M5167",0.6258,0.8806,0.670426253112158,-0.16421525840957,0.15439400755884,-0.308242158678256
"Cricetomys gambianus CBGP CR01",0.0894,0.9401142857,0.0897120955658183,-0.760886733554212,0.455842810398945,-1.19226205557317
"Cricetomys gambianus CBGP LG1553",0.2714,0.8518,0.300584334173581,NA,NA,NA
"Cricetomys gambianus CBGP LG1555",0.206,1.03825,0.187179988096807,-0.849222334622359,0.461392695401812,-1.25980218380001
"Ctenomys talarum NHM 9.12.1.68-70",0.0691,0.4377727273,0.148909868477508,-0.323868053087142,0.178416873077389,-0.495212155945172
"Cuniculus paca JAGUARS M5329",0.4491,0.9449,0.448385273873446,-0.585486331548789,0.223975598953788,-0.803474016502563
"Cynomys souslik UM unreg coll. Poitevin",0.0515,0.8278787879,0.0586860134242816,-1.13136339711025,0.394411260736947,-1.51212000598946
"Dactylomys dactylinus RBM1232",0.284,0.5613448276,0.477290455222299,-0.427867450211149,-0.12636181045642,-0.300318586019247
"Dasyprocta leporina JAGUARS M5324",1.0111,0.72872,1.30896355874451,-0.375093454458551,-0.0582705520527401,-0.296959451794281
"Dendromus mystacalis NHMUK 1975.3181",0.0031,0.31725,0.00921837132194418,-0.755892728037287,0.509075486889454,-1.25753366866147
"Dicrostonyx groenlandicus NHM 1995.14",0.0237,0.607,0.0368344160890243,-0.847025920691558,0.100456501121173,-0.973519052774579
"Dipodomys sp. CBUN 002",0.0167,0.5116666667,0.0307909778112815,-0.649643339291686,0.454366670631226,-1.10798153987974
"Dolichotis patagonum THOIRY 01",0.593,0.92925,0.602027400876138,-1.31124586812199,0.0382444781880338,-1.35914823040674
"Echiothrix leucura AMNH 225046",0.0604,0.5777142857,0.0986320288175482,-0.751234439985903,-0.286030336473303,-0.446829777198377
"Eliomys quercinus MC88",0.0186,0.5490526316,0.0319589940953135,-0.761120676746413,0.177441262960881,-0.925816737931897
"Ellobius sp. CBUN FV15",0.0488,0.7904666667,0.0582412109055181,-0.279222207103191,0.364928684336305,-0.632394616031952
"Euryzygomatomys spinosus NHM 9.11.19.29-31",0.0838,0.6455833333,0.122457628156964,-0.61082889921965,0.163883102980075,-0.756285563814818
"Exilisciurus whiteheadi NHM 1895.10.4.40",0.0077,0.4789722222,0.0151661215550888,-1.03667386450575,0.232130729295179,-1.2521598148882
"Felovia vae NHM 1991.99",0.0496,0.4169047619,0.112237750936058,-0.818814586296579,-0.0569726927251019,-0.714031112381828
"Funambulus palmarum NHM 1971.792",0.0163,0.5288947368,0.0290745160059722,-1.15700191560744,0.101658238007009,-1.25640732689427
"Funisciurus anerythrus RMCA 1988.011.M.004",0.04,1.102518519,0.0342269525693144,-0.941419547224712,0.478296050910366,-1.41095796380629
"Galea musteloides CBUN CSB 005",0.0678,0.5399166667,0.118466919241231,-0.921924168397249,0.138441094189897,-1.02382051033949
"Grammomys poensis rutilans MNHN-ZM-MO 1996-2106",0.0195,0.5012765957,0.0366987538873727,-1.00007295799759,0.0817982954851981,-1.05196762706715
"Graphiurus sp. ETH0706",0.0092,0.3415555556,0.0254109328357207,-0.758837480804682,0.175331335251549,-0.927748073296171
"Halmaheramys wallacei bisa rat 374",0.0683,0.6255128205,0.103009818747833,-0.563882206291094,0.110066658237698,-0.661915696637558
"Hapalomys longicaudatus AMNH 242686",0.058,0.6059152542,0.0903046766900087,-0.773512021206268,-0.0176109849126428,-0.736919644932201
"Heliosciurus gambianus NHM 2022.22",0.0518,0.8651304348,0.0564861927896446,-1.18533727918844,0.467299555180478,-1.63846983434488
"Hydrochoerus hydrochaeris JAGUARS M5306",3.65,0.5663333333,6.08015813999605,-0.20008618539513,-0.10557605038634,-0.048655366201992
"Hylaeamys megacephalus JAGUARS M2983",0.009,0.3397857143,0.0249880017917394,-0.511206769838817,0.318393178989729,-0.814729002860393
"Hypogeomys antimena CBUN NMP",0.1776,0.9082857143,0.18446527031469,-0.855513624564112,0.243082047279511,-1.04377967263519
"Idiurus macrotis RMCA 38520",0.0161,0.5665853659,0.0268073977187116,-0.813201479179556,0.554356447268827,-1.36389197037824
"Jaculus jaculus NHM 95.340",0.0141,0.6413846154,0.0207393293712808,-0.781168447656724,0.604672736883632,-1.35860316946238
"Jaculus jaculus NHM 79.2181",0.0261,0.3028928571,0.0812915885345715,-0.495650962694854,0.188078652104691,-0.660575104376911
"Kannabateomys amblyonyx NHM 9.11.19.28",0.1963,0.7318181818,0.253052853633382,-0.468378904189242,0.0830334282417542,-0.536005854739699
"Kerodon rupestris CBUN CSB2022-001",0.2082,0.5105185185,0.384736473256107,-0.590003017883206,0.106931100965707,-0.682451407937119
"Lagostomus maximus NHM 1970.25",1.8241,1.18878,1.44757571342366,-0.293889981422259,0.348360718077747,-0.609655870616094
"Laonastes aenigmamus UM TK2007-06",0.0836,0.6022,0.130966331000169,-0.864871933379631,0.11486392189037,-0.928218038509193
